date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/2/2017,964,952.1201,967.305,2415846,959.19,AMZN,10/2/2017,37.0887338,7.577268195,55.33399801,1003,37.0887338,14.26021879
10/3/2017,958,950.37,963.69,2643484,957.1,AMZN,10/3/2017,38.15987934,11.08597285,50.75414781,1326,38.15987934,22.34877364
10/4/2017,954.21,954.05,967.79,2460721,965.45,AMZN,10/4/2017,36.16858238,10.72796935,53.10344828,1305,36.16858238,19.64146967
10/5/2017,970,969.64,981.51,3119487,980.85,AMZN,10/5/2017,47.9390175,7.227555054,44.83342744,1771,47.9390175,24.41107621
10/6/2017,975.64,975.64,995.75,3719840,989.58,AMZN,10/6/2017,34.62804477,11.58657011,53.78538512,1519,34.62804477,19.81813359
10/9/2017,993.24,987.5,998.5,2927994,990.99,AMZN,10/9/2017,31.29525342,8.608205953,60.09654063,1243,31.29525342,10.52861392
10/10/2017,996.67,980.099,997.95,3062820,987.2,AMZN,10/10/2017,33.64413364,6.993006993,59.36285936,1287,33.64413364,9.647096233
10/11/2017,991.27,986.695,995.5,2310872,995,AMZN,10/11/2017,36.01449275,11.08695652,52.89855072,1380,36.01449275,20.2053544
10/12/2017,996.81,992.4,1008.44,4056172,1000.93,AMZN,10/12/2017,40.16445288,9.044908286,50.79063884,1581,40.16445288,20.27121805
10/13/2017,1007,1001.03,1007.77,2399403,1002.94,AMZN,10/13/2017,40.61538462,8.076923077,51.30769231,1300,40.61538462,18.78617937
10/16/2017,1008.44,1001.04,1009.57,1991556,1006.34,AMZN,10/16/2017,32.78985507,7.971014493,59.23913043,1104,32.78985507,10.74883266
10/17/2017,1005.59,1004.38,1011.47,2307075,1009.13,AMZN,10/17/2017,34.31034483,10.94827586,54.74137931,1160,34.31034483,18.22384515
10/18/2017,1009.27,996.55,1022.31,2477357,997,AMZN,10/18/2017,36,10.18181818,53.81818182,1375,36,18.38058496
10/19/2017,990,980.24,991.05,3040066,986.61,AMZN,10/19/2017,32.90870488,9.624911536,57.46638358,1413,32.90870488,14.17547656
10/20/2017,993.53,982,994.62,2294145,982.91,AMZN,10/20/2017,31.81818182,8.8794926,59.30232558,946,31.81818182,11.59411562
10/23/2017,986.73,962.5,986.775,3465469,966.3,AMZN,10/23/2017,32.56150507,12.80752533,54.63096961,1382,32.56150507,20.19350432
10/24/2017,969,965,979.85,2666782,975.9,AMZN,10/24/2017,34.01139138,8.543531326,57.4450773,1229,34.01139138,13.11540263
10/25/2017,978,966.24,984.44,2969295,972.91,AMZN,10/25/2017,33.67071525,12.0782726,54.25101215,1482,33.67071525,19.84420905
10/26/2017,980.33,968.55,982.9,3670282,972.43,AMZN,10/26/2017,39.20485919,10.87796797,49.91717283,3622,39.20485919,22.97774374
10/27/2017,1058.14,1050.55,1105.58,16360527,1100.95,AMZN,10/27/2017,36.37481554,9.41957698,54.20560748,4066,36.37481554,17.2309181
