date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/2/2017,33.61,33.52,33.77,16443224,33.75,CSCO,10/2/2017,39.7260274,9.589041096,50.68493151,73,39.7260274,15.48744292
10/3/2017,33.72,33.61,33.9,13159079,33.85,CSCO,10/3/2017,28,10,62,100,33.41666667,10
10/4/2017,33.53,33.29,33.56,14606016,33.44,CSCO,10/4/2017,43.22033898,5.084745763,51.69491525,118,43.22033898,9.973163848
10/5/2017,33.58,33.41,33.67,14301206,33.59,CSCO,10/5/2017,37.66233766,7.792207792,54.54545455,77,37.66233766,9.830086577
10/6/2017,33.65,33.5247,33.78,13438950,33.75,CSCO,10/6/2017,38.15789474,5.263157895,56.57894737,76,38.15789474,5.26754386
10/9/2017,33.77,33.61,33.89,8684822,33.76,CSCO,10/9/2017,31.25,3.75,65,80,39.66666667,3.75
10/10/2017,33.88,33.47,33.91,17978700,33.55,CSCO,10/10/2017,32.22222222,11.11111111,56.66666667,90,32.30555556,11.11111111
10/11/2017,33.38,33.25,33.63,12353462,33.59,CSCO,10/11/2017,43.5483871,3.225806452,53.22580645,62,43.5483871,6.583333337
10/12/2017,33.26,33.17,33.46,17811160,33.26,CSCO,10/12/2017,33.33333333,10.47619048,56.19047619,105,33.33333333,10.86904763
10/13/2017,33.4,33.323,33.57,13451108,33.47,CSCO,10/13/2017,28.75,3.75,67.5,80,39.66666667,3.75
10/16/2017,33.6,33.47,33.64,10469019,33.54,CSCO,10/16/2017,45.78313253,4.819277108,49.39759036,83,45.78313253,12.00502008
10/17/2017,33.59,33.46,33.67,8633089,33.6,CSCO,10/17/2017,39.37007874,3.937007874,56.69291339,127,39.4796588,3.937007874
10/18/2017,33.72,33.44,33.75,9739887,33.55,CSCO,10/18/2017,36.26373626,13.18681319,50.54945055,91,36.26373626,19.22069597
10/19/2017,33.51,33.45,33.89,12928532,33.75,CSCO,10/19/2017,28.57142857,5.194805195,66.23376623,77,38.22186147,5.194805195
10/20/2017,34.02,34.01,34.39,24055347,34.25,CSCO,10/20/2017,44.27480916,6.870229008,48.85496183,131,44.27480916,14.59860051
10/23/2017,34.45,34.27,34.68,22490134,34.35,CSCO,10/23/2017,35.17060367,9.973753281,54.85564304,381,35.17060367,11.70144358
10/24/2017,34.4,34.25,34.675,15273905,34.58,CSCO,10/24/2017,25,6.382978723,68.61702128,188,37.03368795,6.382978723
10/25/2017,34.73,34.163,34.73,17012218,34.3,CSCO,10/25/2017,28.64864865,6.486486486,64.86486486,185,36.93018018,6.486486486
10/26/2017,34.41,34.07,34.51,14541155,34.27,CSCO,10/26/2017,43.65079365,9.523809524,46.82539683,126,43.65079365,19.28174603
10/27/2017,34.15,34.09,34.62,20237956,34.43,CSCO,10/27/2017,38.63636364,2.272727273,59.09090909,88,41.1439394,2.272727273
10/30/2017,34.32,33.8244,34.38,18241531,34.04,CSCO,10/30/2017,50.76923077,7.692307692,41.53846154,130,50.76923077,22.73717949
10/31/2017,33.98,33.96,34.24,13544441,34.15,CSCO,10/31/2017,22.44897959,7.142857143,70.40816327,98,36.27380953,7.142857143
11/1/2017,34.29,34.28,34.75,21831973,34.62,CSCO,11/1/2017,45.03816794,5.34351145,49.61832061,131,45.03816794,12.30852418
11/2/2017,34.55,34.16,34.64,19647242,34.21,CSCO,11/2/2017,34.31372549,8.823529412,56.8627451,102,34.59313726,8.823529412
