date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/2/2017,74.71,74.295,75.01,15210338,74.61,MSFT,10/2/2017,36.96236559,11.96236559,51.07526882,744,40.82504764,11.96236559
10/3/2017,74.67,74.195,74.88,11935853,74.26,MSFT,10/3/2017,39.88919668,10.38781163,49.72299169,722,42.3996016,10.38781163
10/4/2017,74,73.71,74.72,13287346,74.69,MSFT,10/4/2017,40.84302326,9.88372093,49.27325581,688,42.9036923,9.88372093
10/5/2017,75.22,74.96,76.12,20656238,75.97,MSFT,10/5/2017,42.51893939,8.049242424,49.43181818,1056,44.7381708,8.049242424
10/6/2017,75.67,75.54,76.03,13692791,76,MSFT,10/6/2017,41.78321678,9.965034965,48.25174825,572,42.82237826,9.965034965
10/9/2017,75.97,75.86,76.55,11364275,76.29,MSFT,10/9/2017,31.93779904,21.53110048,46.53110048,836,31.93779904,22.21258677
10/10/2017,76.33,76.14,76.63,13734627,76.29,MSFT,10/10/2017,43.92265193,13.39779006,42.67955801,724,43.92265193,17.93081882
10/11/2017,76.36,75.95,76.46,14780652,76.42,MSFT,10/11/2017,46.26038781,9.972299169,43.76731302,722,46.26038781,13.41757292
10/12/2017,76.49,76.37,77.29,16778148,77.12,MSFT,10/12/2017,41.68865435,9.366754617,48.94459103,758,43.42065861,9.366754617
10/13/2017,77.59,77.29,77.87,15250772,77.49,MSFT,10/13/2017,39.2033543,9.433962264,51.36268344,477,43.35345097,9.433962264
10/16/2017,77.42,77.35,77.81,12331147,77.65,MSFT,10/16/2017,35.61643836,8.592777086,55.79078456,803,44.19463615,8.592777086
10/17/2017,77.47,77.25,77.62,15953665,77.59,MSFT,10/17/2017,49.33494559,7.134220073,43.53083434,827,49.33494559,10.8159725
10/18/2017,77.67,77.37,77.85,13147124,77.61,MSFT,10/18/2017,38.88149134,7.323568575,53.79494008,751,45.46384465,7.323568575
10/19/2017,77.57,77.35,77.93,14982129,77.91,MSFT,10/19/2017,37.60932945,10.93294461,51.45772595,686,41.85446863,10.93294461
10/20/2017,78.32,78.22,78.97,22517092,78.81,MSFT,10/20/2017,39.15022762,10.92564492,49.92412747,659,41.86176832,10.92564492
10/23/2017,78.99,78.76,79.34,20479731,78.83,MSFT,10/23/2017,35.59950556,7.787391842,56.6131026,809,45.00002139,7.787391842
10/24/2017,78.9,78.46,79.2,16613928,78.86,MSFT,10/24/2017,32.38341969,13.86010363,53.75647668,772,38.9273096,13.86010363
10/25/2017,78.58,78.01,79.1,19714512,78.63,MSFT,10/25/2017,40.89219331,11.24535316,47.86245353,1076,41.54206007,11.24535316
10/26/2017,79.2,78.75,79.42,29181652,78.76,MSFT,10/26/2017,35.90285111,9.186906019,54.91024287,1894,43.60050721,9.186906019
10/27/2017,84.37,83.61,86.2,70877350,83.81,MSFT,10/27/2017,39.65707965,7.35619469,52.98672566,1808,45.43121854,7.35619469
10/30/2017,83.7,83.105,84.325,31291801,83.89,MSFT,10/30/2017,33.0726257,10.94972067,55.97765363,895,41.83769256,10.94972067
10/31/2017,84.36,83.11,84.36,26728947,83.18,MSFT,10/31/2017,36.06998654,7.940780619,55.98923284,743,44.84663261,7.940780619
11/1/2017,83.68,82.88,83.76,22039635,83.18,MSFT,11/1/2017,35.72359844,7.04041721,57.23598435,767,45.74699602,7.04041721
11/2/2017,83.35,83.12,84.46,23822964,84.05,MSFT,11/2/2017,42.47246022,8.935128519,48.59241126,817,43.85228471,8.935128519
11/3/2017,84.08,83.4,84.54,17569120,84.14,MSFT,11/3/2017,37.56019262,8.507223114,53.93258427,623,44.28019012,8.507223114
11/6/2017,84.2,84.0825,84.7,19039847,84.47,MSFT,11/6/2017,37.71626298,8.131487889,54.15224913,578,44.65592534,8.131487889
11/7/2017,84.77,83.93,84.9,17152583,84.27,MSFT,11/7/2017,35.40903541,12.08791209,52.5030525,819,40.69950114,12.08791209
11/9/2017,84.11,82.9,84.27,20924172,84.09,MSFT,11/9/2017,39.54545455,10.15151515,50.3030303,660,42.63589808,10.15151515
11/10/2017,83.79,83.23,84.095,19340435,83.87,MSFT,11/10/2017,37.58389262,14.98881432,47.42729306,447,37.79859891,14.98881432
11/13/2017,83.66,83.46,83.94,14080820,83.93,MSFT,11/13/2017,38.06970509,10.45576408,51.47453083,746,42.33164915,10.45576408
11/14/2017,83.5,82.98,84.1,18604034,84.05,MSFT,11/14/2017,39.25831202,10.86956522,49.87212276,782,41.91784801,10.86956522
11/15/2017,83.47,82.69,83.69,19097333,82.98,MSFT,11/15/2017,41.35876043,11.08462455,47.55661502,839,41.70278868,11.08462455
11/16/2017,83.1,82.94,83.42,20659209,83.2,MSFT,11/16/2017,44.59320288,12.04943357,43.35736354,971,44.59320288,15.9046568
11/17/2017,83.12,82.24,83.12,21715498,82.4,MSFT,11/17/2017,35.55900621,9.782608696,54.65838509,644,43.00480453,9.782608696
11/20/2017,82.4,82.25,82.59,16072495,82.53,MSFT,11/20/2017,37.93103448,18.96551724,43.10344828,638,37.93103448,23.07465573
11/21/2017,82.74,82.74,83.84,21033981,83.72,MSFT,11/21/2017,44.57308249,8.683068017,46.74384949,691,44.57308249,9.151805297
11/22/2017,83.83,83.04,83.9,20213704,83.11,MSFT,11/22/2017,35.65789474,10.26315789,54.07894737,760,42.52425534,10.26315789
11/24/2017,83.01,82.78,83.43,7425503,83.26,MSFT,11/24/2017,37.59590793,12.53196931,49.87212276,391,40.25544392,12.53196931
11/27/2017,83.31,83.3,83.98,17603760,83.87,MSFT,11/27/2017,39.03818953,15.2758133,45.68599717,707,39.03818953,16.8024029
11/28/2017,84.07,84.02,85.06,21162639,84.88,MSFT,11/28/2017,45.87628866,9.793814433,44.32989691,776,45.87628866,12.67650429
11/29/2017,84.71,83.175,84.9172,26401761,83.34,MSFT,11/29/2017,45.59748428,7.442348008,46.96016771,954,45.59748428,7.694767068
11/30/2017,83.51,83.34,84.52,32074914,84.17,MSFT,11/30/2017,41.95488722,9.473684211,48.57142857,665,43.31372902,9.473684211
12/1/2017,83.6,83.22,84.81,29113662,84.26,MSFT,12/1/2017,41.16666667,10,48.83333333,600,42.78741323,10
12/4/2017,84.42,80.7,84.4299,37977732,81.08,MSFT,12/4/2017,42.01030928,13.01546392,44.9742268,776,42.01030928,15.25382389
12/5/2017,81.34,80.9801,82.68,25512120,81.59,MSFT,12/5/2017,47.04301075,8.602150538,44.35483871,744,47.04301075,11.4598986
12/6/2017,81.55,81.43,83.14,24821403,82.78,MSFT,12/6/2017,39.35264055,12.09540034,48.55195911,587,40.69201289,12.09540034
12/7/2017,82.54,82,82.8,20378114,82.49,MSFT,12/7/2017,38.72633391,10.84337349,50.4302926,581,41.94403974,10.84337349
12/8/2017,83.63,83.33,84.58,23825056,84.16,MSFT,12/8/2017,34.92537313,9.552238806,55.52238806,670,43.23517442,9.552238806
12/11/2017,84.29,84.12,85.37,19909119,85.23,MSFT,12/11/2017,42.05933682,10.9947644,46.94589878,573,42.05933682,11.26145239
12/12/2017,85.31,85.08,86.05,23534946,85.58,MSFT,12/12/2017,42.79600571,10.12838802,47.07560628,701,42.79600571,10.26536851
12/13/2017,85.74,85.17,86,21307911,85.35,MSFT,12/13/2017,53.72972973,9.081081081,37.18918919,925,53.72972973,19.10447866
12/14/2017,85.43,84.53,85.8739,19080106,84.69,MSFT,12/14/2017,38.56707317,17.68292683,43.75,656,38.56707317,21.1455136
12/15/2017,85.26,84.88,87.09,52430167,86.85,MSFT,12/15/2017,44.56521739,9.64673913,45.78804348,736,44.56521739,11.07128242
12/18/2017,87.12,86.23,87.4999,21551076,86.38,MSFT,12/18/2017,43.71584699,9.153005464,47.13114754,732,43.71584699,9.234444694
12/19/2017,86.35,85.27,86.35,23241979,85.83,MSFT,12/19/2017,45.42619543,14.65696466,39.91683992,962,45.42619543,21.95271151
12/20/2017,86.2,84.71,86.3,23425009,85.52,MSFT,12/20/2017,42.22689076,11.34453782,46.42857143,952,42.22689076,12.12855316
12/21/2017,86.05,85.4,86.1,16638402,85.5,MSFT,12/21/2017,43.76558603,10.2244389,46.00997506,802,43.76558603,11.42705061
12/22/2017,85.4,84.92,85.63,14033977,85.51,MSFT,12/22/2017,43.24324324,8.445945946,48.31081081,592,44.34146728,8.445945946
12/26/2017,85.31,85.03,85.5346,9737412,85.4,MSFT,12/26/2017,35,7.884615385,57.11538462,520,44.90279785,7.884615385
12/27/2017,85.65,85.215,85.98,13000828,85.71,MSFT,12/27/2017,36.95238095,17.52380952,45.52380952,525,36.95238095,19.21258677
12/28/2017,85.9,85.55,85.93,9872795,85.72,MSFT,12/28/2017,45.24886878,10.85972851,43.89140271,442,45.24886878,14.18091257
12/29/2017,85.63,85.5,86.05,18162779,85.54,MSFT,12/29/2017,42.03187251,8.764940239,49.20318725,502,44.02247299,8.764940239
1/2/2018,86.125,85.5,86.31,21993101,85.95,MSFT,1/2/2018,42.96577947,11.78707224,45.24714829,526,42.96577947,13.75251072
1/3/2018,86.055,85.97,86.51,24173064,86.35,MSFT,1/3/2018,39.18918919,11.14864865,49.66216216,592,41.63876458,11.14864865
1/4/2018,86.59,86.57,87.66,21145985,87.11,MSFT,1/4/2018,44.30769231,11.69230769,44,650,44.30769231,14.90489446
1/5/2018,87.66,87.43,88.41,22526563,88.19,MSFT,1/5/2018,39.01581722,11.42355009,49.56063269,569,41.36386314,11.42355009
1/8/2018,88.2,87.6046,88.58,20293930,88.28,MSFT,1/8/2018,43.25955734,18.5110664,38.22937626,497,43.25955734,27.49427691
1/9/2018,88.65,87.86,88.7272,19390427,88.22,MSFT,1/9/2018,39.76531943,17.73142112,42.50325945,767,39.76531943,22.44074844
1/10/2018,87.86,87.41,88.19,18129153,87.82,MSFT,1/10/2018,38.68954758,15.60062402,45.70982839,641,38.68954758,17.1033824
1/11/2018,88.13,87.24,88.13,16529868,88.08,MSFT,1/11/2018,42.33226837,10.86261981,46.80511182,626,42.33226837,11.27009476
1/12/2018,88.67,88.45,89.78,24000439,89.58,MSFT,1/12/2018,42.51012146,10.52631579,46.96356275,741,42.51012146,10.77533981
