date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/2/2017,35.67,35.49,36.1,15287990,36.07,PFE,10/2/2017,29.54545455,5,65.45454545,220,30.03807367,5
10/3/2017,36.02,35.75,36.2,13528203,36.14,PFE,10/3/2017,26.5060241,9.036144578,64.45783133,166,26.5060241,9.540239573
10/4/2017,36.18,35.9,36.24,10815755,35.96,PFE,10/4/2017,22.42647059,3.308823529,74.26470588,272,31.72925014,3.308823529
10/5/2017,35.88,35.75,36,13060859,36,PFE,10/5/2017,28.66242038,7.643312102,63.69426752,157,28.66242038,8.910970907
10/6/2017,35.99,35.94,36.14,11247289,36.05,PFE,10/6/2017,28.45528455,4.87804878,66.66666667,123,30.16002489,4.87804878
10/9/2017,36.06,35.93,36.15,9748514,36.14,PFE,10/9/2017,17.28395062,4.938271605,77.77777778,162,30.09980207,4.938271605
10/10/2017,36.38,36.03,36.51,17393143,36.4,PFE,10/10/2017,35.38812785,4.337899543,60.2739726,438,35.38812785,9.025853268
10/11/2017,36.37,36.2,36.48,16391671,36.45,PFE,10/11/2017,35.13513514,4.504504505,60.36036036,222,35.13513514,9.10607047
10/12/2017,36.48,36.28,36.6,13373553,36.35,PFE,10/12/2017,24.85875706,5.084745763,70.05649718,177,29.95332791,5.084745763
10/13/2017,36.37,36.2544,36.49,12763460,36.34,PFE,10/13/2017,25.12315271,4.433497537,70.44334975,203,30.60457613,4.433497537
10/16/2017,36.35,35.88,36.48,13538189,35.98,PFE,10/16/2017,27.31958763,4.12371134,68.55670103,194,30.91436233,4.12371134
10/17/2017,35.93,35.75,36.33,13908289,36.2,PFE,10/17/2017,28.44827586,1.724137931,69.82758621,232,33.31393574,1.724137931
10/18/2017,36.25,35.79,36.29,14391870,35.83,PFE,10/18/2017,22.37442922,3.652968037,73.97260274,219,31.38510563,3.652968037
10/19/2017,35.89,35.84,36.38,19603962,36.24,PFE,10/19/2017,28.5046729,4.205607477,67.28971963,214,30.8324662,4.205607477
10/20/2017,36.3,36.03,36.42,17172000,36.42,PFE,10/20/2017,23.62204724,6.299212598,70.07874016,254,28.73886107,6.299212598
10/23/2017,36.3,36.3,36.78,15075239,36.4,PFE,10/23/2017,33.52601156,5.202312139,61.2716763,173,33.52601156,8.892562164
10/24/2017,36.45,35.99,36.53,14435035,36.27,PFE,10/24/2017,26.11111111,6.111111111,67.77777778,180,28.92696256,6.111111111
10/25/2017,36.2,35.92,36.35,14440419,36.175,PFE,10/25/2017,23.78854626,4.405286344,71.8061674,227,30.63278734,4.405286344
10/26/2017,36.09,35.6,36.215,17349175,35.74,PFE,10/26/2017,20.80924855,3.468208092,75.72254335,173,31.56986557,3.468208092
10/27/2017,35.53,35.4,35.75,14927032,35.6,PFE,10/27/2017,24.24242424,7.878787879,67.87878788,165,27.15928579,7.878787879
