date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/2/2017,58.79,57.7,59.08,3692445,58.89,TGT,10/2/2017,26.86390533,9.349112426,63.78698225,845,34.0441713,9.349112426
10/3/2017,59.05,58.44,59.24,3578988,58.58,TGT,10/3/2017,29.26267281,9.447004608,61.29032258,868,33.94627911,9.447004608
10/4/2017,58.68,58.52,58.93,2993870,58.66,TGT,10/4/2017,30.02392344,9.090909091,60.88516746,836,34.30237462,9.090909091
10/5/2017,58.69,58.31,58.89,4425874,58.38,TGT,10/5/2017,27.44034707,12.14750542,60.41214751,922,31.2457783,12.14750542
10/6/2017,57.54,56.725,57.66,8449590,57.12,TGT,10/6/2017,30.672748,8.665906499,60.6613455,877,34.72737722,8.665906499
10/9/2017,57.3,55.77,57.3,6154160,56.25,TGT,10/9/2017,29.27888792,11.98957428,58.73153779,1151,31.40370943,11.98957428
10/10/2017,56.8,56.58,57.85,7358504,57.6,TGT,10/10/2017,32.48587571,8.945386064,58.56873823,1062,34.44789766,8.945386064
10/11/2017,57.79,57.73,59.67,11203196,59.15,TGT,10/11/2017,31.25,10.87962963,57.87037037,864,32.51365409,10.87962963
10/12/2017,59.01,58.54,60.245,8789659,60.19,TGT,10/12/2017,29.11944202,9.677419355,61.20313862,1147,33.71586436,9.677419355
10/13/2017,60.25,59.95,61.56,6708874,60.85,TGT,10/13/2017,30.67729084,12.05179283,57.27091633,1004,31.34149089,12.05179283
10/16/2017,60.36,59.57,60.75,4557721,60.15,TGT,10/16/2017,31.61512027,14.00343643,54.3814433,1164,31.61512027,16.22870942
10/17/2017,60.17,59.86,60.56,3189327,60.17,TGT,10/17/2017,32.19616205,9.914712154,57.8891258,938,33.47857156,9.914712154
10/18/2017,60.17,60,60.58,3505982,60.03,TGT,10/18/2017,30.8974359,10.76923077,58.33333333,780,32.62405295,10.76923077
10/19/2017,59.83,59.62,60.54,3975118,60.43,TGT,10/19/2017,36.81818182,12.61363636,50.56818182,880,36.81818182,18.65217083
10/20/2017,60.68,60.54,61.8,5931780,61.76,TGT,10/20/2017,34.11042945,13.25153374,52.63803681,815,34.11042945,17.22021321
10/23/2017,61.81,61.66,63.62,8768192,62.58,TGT,10/23/2017,34.7107438,9.917355372,55.37190083,1210,34.7107438,11.15217083
10/24/2017,62.87,62.3,63.24,5433312,62.93,TGT,10/24/2017,25.90909091,8.787878788,65.3030303,1320,34.60540492,8.787878788
10/25/2017,62.74,61.37,62.97,4390626,61.875,TGT,10/25/2017,28.55871886,10.40925267,61.03202847,1124,32.98403105,10.40925267
10/26/2017,62.1,61.64,62.67,4104907,62.01,TGT,10/26/2017,26.9441402,13.36254107,59.69331873,913,30.03074265,13.36254107
10/27/2017,61.45,59.86,61.56,6848040,60.26,TGT,10/27/2017,31.05882353,14.11764706,54.82352941,850,31.05882353,15.90083393
10/30/2017,60.18,59.305,60.2,6029483,59.55,TGT,10/30/2017,26.34508349,10.20408163,63.45083488,1078,33.18920209,10.20408163
10/31/2017,59.49,58.91,59.76,6402193,59.04,TGT,10/31/2017,30.67846608,11.89773845,57.42379548,1017,31.49554528,11.89773845
11/1/2017,58.8,58.615,59.42,4681976,58.86,TGT,11/1/2017,28.77569258,13.13672922,58.08757819,1119,30.25655449,13.13672922
11/2/2017,59.14,58.6,59.95,4781815,59.79,TGT,11/2/2017,32.83730159,9.623015873,57.53968254,1008,33.77026785,9.623015873
11/3/2017,59.67,59.29,60.12,3980879,59.36,TGT,11/3/2017,29.78959025,10.74197121,59.46843854,903,32.65131251,10.74197121
11/6/2017,59.3,58.71,59.4,4535152,59.29,TGT,11/6/2017,33.30241187,11.59554731,55.10204082,1078,33.30241187,13.10022277
11/7/2017,59.07,57.66,59.11,6548537,57.89,TGT,11/7/2017,28.6437247,12.95546559,58.40080972,988,30.43781813,12.95546559
11/9/2017,57.66,57.19,60.15,8440561,59.9,TGT,11/9/2017,29.16235781,11.9958635,58.8417787,967,31.39742023,11.9958635
11/10/2017,59.91,59.91,61.41,6787773,61.4,TGT,11/10/2017,32.11233211,9.89010989,57.997558,819,33.50317383,9.89010989
11/13/2017,61.4,60.15,61.95,6579304,60.4,TGT,11/13/2017,28.05611222,10.32064128,61.62324649,998,33.07264243,10.32064128
11/14/2017,59.59,59.15,60.305,8002063,60.09,TGT,11/14/2017,30.40201005,13.23283082,56.36515913,1194,30.40201005,13.47438797
11/15/2017,56.26,54.04,57.91,34575232,54.16,TGT,11/15/2017,36.72748676,16.12713361,47.14537964,1699,36.72748676,25.58847025
11/16/2017,54.51,54.13,55.32,12642653,55.1,TGT,11/16/2017,31.71996543,9.59377701,58.68625756,1157,33.79950671,9.59377701
11/17/2017,55.76,55.72,58.74,15956657,58.14,TGT,11/17/2017,35.62130178,11.36094675,53.01775148,845,35.62130178,14.94991155
11/20/2017,57.97,57.1051,58.21,7335245,57.88,TGT,11/20/2017,29.06077348,9.834254144,61.10497238,905,33.55902958,9.834254144
11/21/2017,57.85,56.79,58.07,5937253,57.25,TGT,11/21/2017,26.69902913,10.67961165,62.62135922,1030,32.71367207,10.67961165
