date,open,low,high,volume,close,Name
1/2/2014,22.17,21.91,22.29,44377000,22,CSCO
1/3/2014,22.09,21.83,22.12,36328200,21.98,CSCO
1/6/2014,21.96,21.93,22.23,34150300,22.01,CSCO
1/7/2014,22.26,22.15,22.41,37368800,22.31,CSCO
1/8/2014,22.29,22.15,22.36,38362700,22.293,CSCO
1/9/2014,22.29,21.92,22.31,31794000,22.09,CSCO
1/10/2014,22.23,21.99,22.28,30318600,22.22,CSCO
1/13/2014,22.39,22.14,22.82,59600000,22.19,CSCO
1/14/2014,22.33,22.2,22.52,44300800,22.41,CSCO
1/15/2014,22.5,22.42,23,61767800,22.78,CSCO
1/16/2014,22.85,22.63,22.91,38918100,22.78,CSCO
1/17/2014,22.58,22.58,22.78,44349100,22.74,CSCO
1/21/2014,22.91,22.64,22.95,33423000,22.83,CSCO
1/22/2014,22.91,22.78,22.95,30700100,22.84,CSCO
1/23/2014,22.69,22.46,22.85,37013600,22.56,CSCO
1/24/2014,22.4,22.17,22.54,40917300,22.2,CSCO
1/27/2014,21.765,21.76,22.11,60510000,22,CSCO
1/28/2014,21.88,21.7,22,41431800,21.75,CSCO
1/29/2014,21.615,21.6,21.835,35406500,21.65,CSCO
1/30/2014,21.77,21.63,21.99,42883000,21.976,CSCO
1/31/2014,21.61,21.61,21.99,43325300,21.91,CSCO
2/3/2014,21.93,21.455,21.95,60693300,21.55,CSCO
2/4/2014,21.58,21.4,21.82,46626500,21.8,CSCO
2/5/2014,21.69,21.575,22.07,46291400,21.98,CSCO
2/6/2014,22.04,21.97,22.58,49584300,22.49,CSCO
2/7/2014,22.52,22.3,22.72,54109200,22.67,CSCO
2/10/2014,22.64,22.56,22.875,45300500,22.83,CSCO
2/11/2014,22.78,22.67,22.88,45804800,22.71,CSCO
2/12/2014,22.61,22.52,22.92,69832400,22.85,CSCO
2/13/2014,21.99,21.675,22.27,153739400,22.27,CSCO
2/14/2014,22.2234,22.2,22.77,64513500,22.56,CSCO
2/18/2014,22.49,22.33,22.54,31014400,22.41,CSCO
2/19/2014,22.33,22.22,22.56,29309100,22.28,CSCO
2/20/2014,22.24,22.16,22.4,26215000,22.3,CSCO
2/21/2014,22.367,22.13,22.45,31483000,22.13,CSCO
2/24/2014,22.19,22,22.34,41858000,22.12,CSCO
2/25/2014,22.15,21.76,22.22,45303600,21.84,CSCO
2/26/2014,21.84,21.55,22.02,43574600,21.93,CSCO
2/27/2014,21.88,21.86,22.05,25804000,21.92,CSCO
2/28/2014,21.97,21.7,22.11,40863200,21.8,CSCO
3/3/2014,21.57,21.44,21.82,37292900,21.57,CSCO
3/4/2014,21.78,21.7,21.89,35673900,21.82,CSCO
3/5/2014,21.9,21.81,22.05,28203400,21.87,CSCO
3/6/2014,21.88,21.75,21.98,23567000,21.82,CSCO
3/7/2014,21.92,21.66,21.94,33180000,21.73,CSCO
3/10/2014,21.63,21.6,21.82,26163300,21.69,CSCO
3/11/2014,21.86,21.58,21.93,34642200,21.61,CSCO
3/12/2014,21.53,21.53,21.92,31854300,21.82,CSCO
3/13/2014,21.89,21.5,21.92,42144400,21.52,CSCO
3/14/2014,21.55,21.28,21.65,38256700,21.3499,CSCO
3/17/2014,21.35,21.27,21.62,33221900,21.51,CSCO
3/18/2014,21.34,21.29,21.71,45849600,21.63,CSCO
3/19/2014,21.69,21.555,21.8,32674300,21.63,CSCO
3/20/2014,21.59,21.59,22,34952800,21.83,CSCO
3/21/2014,21.94,21.58,22.1,97372900,21.64,CSCO
3/24/2014,21.68,21.465,21.79,32782100,21.57,CSCO
3/25/2014,21.69,21.65,22.36,53374300,22.34,CSCO
3/26/2014,22.44,22.32,22.69,67098900,22.32,CSCO
3/27/2014,22.13,21.94,22.39,52152300,22.02,CSCO
3/28/2014,22.09,22.05,22.54,49289400,22.33,CSCO
3/31/2014,22.49,22.4,22.64,32887800,22.415,CSCO
