date,open,low,high,volume,close,Name 
1/2/2014,187.21,185.2,187.4,4546500,185.53,IBM
1/3/2014,185.83,185.3,187.35,4063200,186.64,IBM
1/6/2014,187.15,185.3,187.355,4067800,186,IBM
1/7/2014,186.39,186.38,190.35,5932300,189.71,IBM
1/8/2014,189.33,187.26,189.4175,4603700,187.97,IBM
1/9/2014,189.02,186.55,189.5,4321300,187.38,IBM
1/10/2014,188.31,186.28,188.57,4022400,187.26,IBM
1/13/2014,186.26,183.86,186.95,5784700,184.16,IBM
1/14/2014,185.06,183.8818,186.428,4619200,185.92,IBM
1/15/2014,185.82,185.49,188.65,4816500,187.74,IBM
1/16/2014,187.53,186.8,188.99,4770300,188.76,IBM
1/17/2014,188.04,187.86,190.81,7644600,190.09,IBM
1/21/2014,190.23,186.79,190.39,11076300,188.43,IBM
1/22/2014,181.28,179.67,183.5,13796100,182.25,IBM
1/23/2014,181.43,180.71,183.72,6973900,182.73,IBM
1/24/2014,181.25,179.64,182.8141,6890600,179.64,IBM
1/27/2014,179.605,177.66,179.65,5208600,177.9,IBM
1/28/2014,178.05,176.16,178.45,5333300,176.85,IBM
1/29/2014,175.98,175.89,178.53,4970900,176.4,IBM
1/30/2014,177.17,176.36,177.86,4853700,177.36,IBM
1/31/2014,176.11,175.34,177.835,5193400,176.68,IBM
2/3/2014,176.02,172.72,176.02,7186800,172.9,IBM
2/4/2014,173.53,172.36,173.75,4349800,172.84,IBM
2/5/2014,172.19,172.19,174.97,4712300,174.24,IBM
2/6/2014,173.97,173.79,174.85,4292200,174.67,IBM
2/7/2014,175.64,175.07,177.56,4692900,177.25,IBM
2/10/2014,176.97,176.25,177.65,3540400,177.14,IBM
2/11/2014,176.81,176.8,180.39,4647300,179.7,IBM
2/12/2014,179.52,179.26,181.25,3983000,180.24,IBM
2/13/2014,178.22,177.86,182.36,4482000,181.84,IBM
2/14/2014,181.26,180.99,184.43,4659900,183.69,IBM
2/18/2014,183.18,182.32,184,4435200,183.19,IBM
2/19/2014,182.74,182.41,185.65,4671500,182.95,IBM
2/20/2014,182.96,182.79,184.8599,4968200,184.26,IBM
2/21/2014,184.25,182.62,185.71,5699300,182.79,IBM
2/24/2014,182.82,182.82,185.16,4595300,183.45,IBM
2/25/2014,183.52,182.88,184.6,3902300,183.23,IBM
2/26/2014,183.94,183.56,185.28,3740700,184.06,IBM
2/27/2014,183.83,183.81,185.95,3827800,185.27,IBM
2/28/2014,185.38,183.65,186.12,4667900,185.17,IBM
3/3/2014,183.33,182.82,184.64,3950100,184.26,IBM
3/4/2014,185.81,185.68,187.16,4733000,186.44,IBM
3/5/2014,186.57,186.4,187.95,3485200,187.14,IBM
3/6/2014,187.37,186.9,188.39,3817300,187.64,IBM
3/7/2014,188.35,187.18,188.92,4117800,187.68,IBM
3/10/2014,187.55,185.849,188.37,4591200,186.39,IBM
3/11/2014,187.41,186.04,188.45,4229500,186.76,IBM
3/12/2014,186.01,185.89,187.45,4833000,186.22,IBM
3/13/2014,186.41,183.71,187,4913200,183.9,IBM
3/14/2014,183.89,182.21,184.29,5490300,182.21,IBM
3/17/2014,182.66,182.66,186.35,4938100,185.81,IBM
3/18/2014,185.99,185.54,187.9,3961300,186.81,IBM
3/19/2014,185.6,183.5001,186.7,4323900,184.71,IBM
3/20/2014,184.47,184.17,188.26,5062600,187.9,IBM
3/21/2014,188.5,186.4,188.7,12535200,186.67,IBM
3/24/2014,187.43,187.37,189.44,5738500,188.25,IBM
3/25/2014,188.76,188.7,195.395,10912700,195.04,IBM
3/26/2014,194.98,191.96,195.63,6851700,192.62,IBM
3/27/2014,191.91,189.322,192.67,6767700,189.83,IBM
3/28/2014,189.94,189.11,192.62,5194400,190.45,IBM
3/31/2014,191.64,191.4,193.77,8537300,192.49,IBM
4/1/2014,193.12,192.78,195.13,5394100,194.5,IBM
4/2/2014,194.24,192.49,194.5,4924100,193.55,IBM
4/3/2014,193.2,192.35,193.38,4091100,192.69,IBM
4/4/2014,193.12,191.28,193.97,6089900,191.77,IBM
4/7/2014,191.72,191.57,195.309,6740500,194.52,IBM
4/8/2014,193.89,192.6898,194.1675,5125000,193.29,IBM
4/9/2014,193.88,193.6,197,5480100,196.64,IBM
4/10/2014,196.06,195.66,199.21,8417900,195.68,IBM
4/11/2014,195.04,194.27,197,4835000,195.19,IBM
4/14/2014,196.24,195.88,198.24,5431100,197.77,IBM
4/15/2014,195.98,195.42,197.41,5351300,197.02,IBM
4/16/2014,198.05,195,198.71,8527300,196.4,IBM
4/17/2014,187.25,187.01,190.7,11255500,190.01,IBM
4/21/2014,189.8,189.74,192.805,5419700,192.27,IBM
4/22/2014,192.01,191.2,193,3878600,192.15,IBM
4/23/2014,191.79,190.11,192.41,4736400,191.73,IBM
4/24/2014,192.22,190.03,192.22,4407100,190.22,IBM
4/25/2014,190.54,189.11,190.67,3871000,189.63,IBM
4/28/2014,191.14,190.58,193.99,5638300,193.14,IBM
4/29/2014,193.59,193.41,195.94,4626300,195.11,IBM
4/30/2014,194.38,194.35,196.86,4206800,196.47,IBM
5/1/2014,196.31,193.15,196.74,3674000,193.53,IBM
5/2/2014,193.75,191.25,193.84,3049900,191.44,IBM
5/5/2014,191.05,189.8,191.49,2222100,191.26,IBM
5/6/2014,190.93,189.25,190.95,3188700,190.03,IBM
5/7/2014,189.34,186.93,190.3,3821000,189.3,IBM
5/8/2014,189.16,188.23,190.57,2431900,188.91,IBM
5/9/2014,188.98,188.37,190.5854,2261600,190.08,IBM
5/12/2014,191.12,190.94,193.02,3777400,192.57,IBM
5/13/2014,192.79,191.76,193.03,2226600,192.19,IBM
5/14/2014,191.91,188.17,191.99,5251500,188.72,IBM
5/15/2014,189.07,186.18,189.08,4202200,186.46,IBM
5/16/2014,186.27,185.93,187.41,3949500,187.06,IBM
5/19/2014,186.61,186.04,187.13,3270700,187,IBM
5/20/2014,186.25,184.7,186.7,3026500,184.89,IBM
5/21/2014,185.85,184.95,187.16,2988000,186.39,IBM
5/22/2014,186.45,185.03,186.45,2218000,185.68,IBM
5/23/2014,185.84,185.3101,186.14,2562900,185.94,IBM
5/27/2014,184.8,183.93,185.65,4793800,184.78,IBM
5/28/2014,184.48,182.94,184.88,3721600,183.08,IBM
5/29/2014,183.64,182.33,183.78,2759900,183.76,IBM
5/30/2014,183.38,182.49,184.57,4620500,184.36,IBM
6/2/2014,184.76,184.67,186.2801,3200500,185.69,IBM
6/3/2014,185.55,184.12,185.76,2517100,184.37,IBM
6/4/2014,184.71,184.2,185.45,2376800,184.51,IBM
6/5/2014,184.66,183.92,186.09,2852200,185.98,IBM
6/6/2014,186.47,185.9,187.65,3296700,186.37,IBM
6/9/2014,186.22,185.96,187.64,2728400,186.22,IBM
6/10/2014,186.2,183.82,186.2199,4154900,184.29,IBM
6/11/2014,183.61,182.01,184.2,4061700,182.25,IBM
6/12/2014,182.48,180.91,182.55,4425300,181.22,IBM
6/13/2014,182,181.52,183,2773600,182.56,IBM
6/16/2014,182.4,181.235,182.71,3556200,182.35,IBM
6/17/2014,181.9,181.56,182.81,2460900,182.26,IBM
