date,open,low,high,volume,close,Name
1/2/2014,37.78,37.55,38.03,18162100,37.84,ORCL
1/3/2014,37.65,37.56,37.86,11693900,37.62,ORCL
1/6/2014,37.64,37.415,37.8,15329400,37.47,ORCL
1/7/2014,37.66,37.5,37.93,16792200,37.85,ORCL
1/8/2014,37.79,37.56,37.91,16111600,37.72,ORCL
1/9/2014,37.85,37.46,37.85,13623500,37.65,ORCL
1/10/2014,37.75,37.59,38.14,15402900,38.11,ORCL
1/13/2014,37.95,37.7,38.1975,20848300,37.75,ORCL
1/14/2014,37.78,37.71,38.25,13486400,38.21,ORCL
1/15/2014,38.2,38.12,38.57,17010900,38.41,ORCL
1/16/2014,38.39,38.17,38.77,13463000,38.29,ORCL
1/17/2014,38.12,38.03,38.47,14051100,38.21,ORCL
1/21/2014,38.52,37.8,38.52,13540000,38.11,ORCL
1/22/2014,38.03,37.95,38.28,14006300,37.98,ORCL
1/23/2014,38.17,37.93,38.26,14174200,38.15,ORCL
1/24/2014,37.92,37.11,37.96,26815600,37.11,ORCL
1/27/2014,37.26,36.49,37.37,19073800,36.49,ORCL
1/28/2014,36.6,36.58,37.13,13899900,37.1,ORCL
1/29/2014,37.18,36.705,37.25,16553600,36.97,ORCL
1/30/2014,37.19,37.08,37.56,12975500,37.4,ORCL
1/31/2014,37.03,36.68,37.2,17039700,36.9,ORCL
2/3/2014,37.09,35.82,37.09,21272600,35.84,ORCL
2/4/2014,35.65,35.44,36.02,16228000,35.96,ORCL
2/5/2014,35.52,35.47,36.25,11458400,35.95,ORCL
2/6/2014,36.12,36.11,36.83,14762200,36.72,ORCL
2/7/2014,36.88,36.71,37.23,13114700,37.19,ORCL
2/10/2014,37.24,37.07,37.44,10976900,37.3,ORCL
2/11/2014,37.5,37.39,37.895,12066100,37.84,ORCL
2/12/2014,37.8,37.66,38.25,12343200,38.07,ORCL
2/13/2014,37.84,37.78,38.49,11683200,38.42,ORCL
2/14/2014,38.33,37.92,38.33,15641400,37.98,ORCL
2/18/2014,38.06,37.73,38.12,10560300,37.97,ORCL
2/19/2014,37.83,37.8,38.295,12491400,37.87,ORCL
2/20/2014,37.84,37.7,38.35,11786000,38.27,ORCL
2/21/2014,38.33,38.08,38.49,13243600,38.1,ORCL
2/24/2014,38.16,38.04,38.455,10388100,38.14,ORCL
2/25/2014,38.11,37.89,38.43,11766400,38.25,ORCL
2/26/2014,38.42,38.35,38.83,11482900,38.5,ORCL
2/27/2014,38.5,38.36,39.1,14055700,38.95,ORCL
2/28/2014,38.95,38.65,39.37,19257800,39.11,ORCL
3/3/2014,38.72,38.38,38.99,13293700,38.51,ORCL
3/4/2014,39.14,39.06,39.5,13682100,39.41,ORCL
3/5/2014,39.41,39.3,39.7,11929200,39.5,ORCL
3/6/2014,39.68,39.42,39.85,13081900,39.46,ORCL
3/7/2014,39.57,38.6,39.59,13821500,38.83,ORCL
3/10/2014,38.82,38.65,38.95,8670300,38.86,ORCL
3/11/2014,39,38.615,39.02,12841500,38.9,ORCL
3/12/2014,38.82,38.28,38.82,13226200,38.52,ORCL
3/13/2014,38.62,37.52,38.66,15361200,37.65,ORCL
3/14/2014,37.69,37.5002,38,14308300,37.6,ORCL
3/17/2014,37.8,37.8,38.48,14981300,38.22,ORCL
3/18/2014,38.37,38.155,38.94,29707200,38.84,ORCL
3/19/2014,37.8,37.4,38.96,45154900,38.55,ORCL
3/20/2014,38.5,38.01,38.69,18960200,38.37,ORCL
3/21/2014,38.7,37.5,38.85,33897900,37.5,ORCL
3/24/2014,37.49,37.38,38.335,22539000,38.18,ORCL
3/25/2014,38.13,38.1,38.5,19750600,38.4,ORCL
3/26/2014,38.4,38.36,39.46,31357500,39.08,ORCL
3/27/2014,38.99,38.8,39.555,26283600,39.24,ORCL
3/28/2014,39.52,39.19,39.86,18405100,39.57,ORCL
3/31/2014,39.75,39.63,41.43,48340300,40.91,ORCL
4/1/2014,41.04,40.96,42,35431800,41.49,ORCL
4/2/2014,41.37,40.85,41.62,22754900,41.13,ORCL
4/3/2014,41.04,40.34,41.14,22497000,40.37,ORCL
4/4/2014,40.6,39.66,40.73,23836200,39.98,ORCL
4/7/2014,39.8,39.04,39.92,27311900,39.47,ORCL
4/8/2014,39.44,39.36,40.35,22197600,40.24,ORCL
4/9/2014,40.47,40.18,40.92,20314000,40.88,ORCL
4/10/2014,40.89,39.48,41.05,26397800,39.79,ORCL
4/11/2014,39.51,38.965,39.88,18655800,38.98,ORCL
4/14/2014,39.08,39.08,39.75,16022000,39.57,ORCL
4/15/2014,39.7,39.2354,39.98,14553400,39.73,ORCL
4/16/2014,39.94,39.51,40.15,13614800,40.13,ORCL
4/17/2014,39.96,39.39,40.18,14644100,40.08,ORCL
4/21/2014,40.24,40.06,40.44,8593600,40.24,ORCL
4/22/2014,40.27,40.14,40.62,10396100,40.46,ORCL
4/23/2014,40.28,39.75,40.34,10048500,39.79,ORCL
4/24/2014,39.76,39.02,39.86,13966400,39.75,ORCL
4/25/2014,39.81,39.225,39.81,11647800,39.45,ORCL
4/28/2014,39.75,39.65,40.28,20141200,40.13,ORCL
4/29/2014,40.25,40.07,40.61,14996300,40.11,ORCL
4/30/2014,40.09,40.02,40.93,16480900,40.88,ORCL
5/1/2014,40.72,40.64,41.19,13945500,40.97,ORCL
5/2/2014,41.16,40.8099,41.21,10710100,40.81,ORCL
5/5/2014,41.13,40.7691,41.26,13722700,41.21,ORCL
5/6/2014,41,40.97,41.29,12647500,41.01,ORCL
5/7/2014,41.15,40.49,41.28,12570400,41.06,ORCL
5/8/2014,41.09,40.55,41.26,10212900,40.87,ORCL
5/9/2014,40.8,40.54,41.26,10262400,41.04,ORCL
5/12/2014,41.22,41.19,42.14,18751400,41.95,ORCL
5/13/2014,42.02,41.64,42.09,10319200,41.89,ORCL
5/14/2014,41.98,41.71,42.02,14015200,41.88,ORCL
5/15/2014,41.84,41.64,42.17,19267000,41.93,ORCL
5/16/2014,41.89,41.32,41.97,15497400,41.69,ORCL
5/19/2014,41.48,41.41,42.2,11929700,42.16,ORCL
5/20/2014,42.07,41.45,42.1,10580200,41.56,ORCL
5/21/2014,41.67,41.48,41.79,11151700,41.68,ORCL
5/22/2014,41.6,41.505,41.94,12276200,41.52,ORCL
5/23/2014,41.65,41.49,42.23,12044200,42.15,ORCL
5/27/2014,42.26,41.73,42.35,12680200,41.91,ORCL
5/28/2014,41.99,41.56,42.19,11308800,41.57,ORCL
5/29/2014,41.79,41.61,42.21,9629500,42.2,ORCL
5/30/2014,42.08,41.85,42.2,13496500,42.02,ORCL
6/2/2014,41.96,41.61,42.02,11284900,41.97,ORCL
6/3/2014,41.84,41.58,41.92,10968400,41.81,ORCL
6/4/2014,41.79,41.33,41.79,8936300,41.7,ORCL
6/5/2014,41.85,41.74,42.33,10647800,42.1,ORCL
6/6/2014,42.29,42.25,42.63,11447800,42.63,ORCL
6/9/2014,42.65,42.41,42.81,10307400,42.7,ORCL
6/10/2014,42.57,42.49,42.88,13457200,42.66,ORCL
6/11/2014,42.45,42.36,42.88,9622700,42.56,ORCL
6/12/2014,42.53,41.84,42.62,11060900,42,ORCL
6/13/2014,42.05,41.71,42.18,10324600,42.14,ORCL
6/16/2014,42,41.77,42.23,8150200,42.15,ORCL
6/17/2014,42.19,41.98,42.7,12792400,42.32,ORCL
6/18/2014,42.38,42.3,42.86,10307000,42.81,ORCL
6/19/2014,42.93,42.43,43.19,27255800,42.51,ORCL
6/20/2014,40.26,39.93,40.94,65103700,40.82,ORCL
6/23/2014,40.93,40.75,41.33,16956600,41.1,ORCL
6/24/2014,40.99,40.66,41.39,16459200,40.76,ORCL
6/25/2014,40.73,40.39,40.84,13889400,40.46,ORCL
6/26/2014,40.55,39.98,40.55,16642500,40.15,ORCL
6/27/2014,40.03,40.03,40.66,15320500,40.53,ORCL
6/30/2014,40.6,40.49,40.82,14098200,40.53,ORCL
7/1/2014,40.41,40.41,40.91,13147000,40.77,ORCL
7/2/2014,40.93,40.77,41.2,13400200,40.95,ORCL
7/3/2014,40.98,40.97,41.36,7863600,41.22,ORCL
7/7/2014,41.01,40.75,41.11,11959400,40.89,ORCL
7/8/2014,40.69,40.38,40.85,12350600,40.56,ORCL
7/9/2014,40.61,39.99,40.72,14711600,40.26,ORCL
7/10/2014,39.89,39.89,40.52,9566900,40.32,ORCL
7/11/2014,40.49,39.98,40.49,11942300,40.13,ORCL
7/14/2014,40.43,40.26,40.68,13586800,40.49,ORCL
7/15/2014,40.38,40.36,40.81,11813800,40.54,ORCL
7/16/2014,40.81,40.13,40.88,14722600,40.26,ORCL
7/17/2014,40.21,39.86,40.71,24447800,39.91,ORCL
7/18/2014,39.98,39.89,40.16,19123500,40,ORCL
7/21/2014,40.03,39.92,40.24,15864700,40.01,ORCL
7/22/2014,40.14,39.96,40.7,13728100,40.43,ORCL
7/23/2014,40.43,40.24,40.65,9191700,40.31,ORCL
7/24/2014,40.35,40.35,40.67,10797700,40.47,ORCL
7/25/2014,40.27,40.27,40.64,7483800,40.33,ORCL
7/28/2014,40.31,40.23,40.82,9658200,40.55,ORCL
7/29/2014,40.71,40.5,40.92,9450400,40.63,ORCL
7/30/2014,40.71,40.58,41.03,11406300,40.96,ORCL
7/31/2014,40.65,40.35,40.94,13689500,40.39,ORCL
8/1/2014,39.63,39.53,40.22,15074700,40.1,ORCL
8/4/2014,39.63,39.53,40.22,12356200,40.1,ORCL
8/5/2014,40.01,39.81,40.38,8806600,39.96,ORCL
8/6/2014,39.85,39.78,40.35,8184800,40.16,ORCL
8/7/2014,40.3,39.585,40.43,9180500,39.67,ORCL
8/8/2014,39.73,39.56,39.97,8862000,39.94,ORCL
8/11/2014,39.99,39.805,40.14,10292800,39.92,ORCL
8/12/2014,39.74,39.73,40.04,6704300,39.9,ORCL
8/13/2014,40.12,40.02,40.295,10629700,40.24,ORCL
8/14/2014,40.29,39.98,40.4,9707000,40.22,ORCL
8/15/2014,40.24,39.98,40.59,13418800,40.28,ORCL
8/18/2014,40.45,40.4,40.77,7633600,40.64,ORCL
8/19/2014,40.72,40.64,41.58,14378600,41.41,ORCL
8/20/2014,41.58,41.09,41.58,9627100,41.25,ORCL
8/21/2014,41.16,41.16,41.81,9569200,41.58,ORCL
8/22/2014,41.34,41.27,41.8,9260700,41.63,ORCL
8/25/2014,41.74,41.64,42.04,8856700,41.74,ORCL
8/26/2014,41.85,41.78,42,7320800,41.84,ORCL
8/27/2014,41.75,41.42,41.8,8440000,41.64,ORCL
8/28/2014,41.67,41.21,41.67,8737100,41.27,ORCL
8/29/2014,41.24,41.24,41.73,8970900,41.53,ORCL
9/2/2014,41.6,41.46,41.68,8538600,41.66,ORCL
9/3/2014,41.8,41.62,41.95,10041600,41.9,ORCL
9/4/2014,41.89,41.37,42.09,12248100,41.55,ORCL
9/5/2014,41.61,41.26,41.76,15155600,41.27,ORCL
9/8/2014,41.01,40.27,41.18,19658500,40.64,ORCL
9/9/2014,40.51,40.43,40.91,14044100,40.71,ORCL
9/10/2014,40.7,40.57,40.81,9134500,40.71,ORCL
9/11/2014,40.25,40.2,40.69,12389100,40.68,ORCL
9/12/2014,40.74,40.4,40.74,11912300,40.5,ORCL
9/15/2014,40.5,40.21,40.77,14018100,40.66,ORCL
9/16/2014,40.81,40.5,41.33,13220100,41.19,ORCL
9/17/2014,41.19,40.77,41.33,14083300,41.14,ORCL
9/18/2014,41.35,41.2,41.7717,26454500,41.55,ORCL
9/19/2014,40.58,39.275,40.66,86679100,39.8,ORCL
9/22/2014,39.68,39.24,39.74,24191139,39.58,ORCL
9/23/2014,39.5,38.8,39.59,34253635,38.83,ORCL
9/24/2014,38.77,38.57,39.556,18884441,39.42,ORCL
9/25/2014,39.35,38.645,39.35,13147552,38.76,ORCL
9/26/2014,38.77,38.52,39.01,16007176,38.95,ORCL
9/29/2014,38.57,38.27,38.63,16586318,38.44,ORCL
9/30/2014,38.46,38.14,38.57,21147664,38.28,ORCL
10/1/2014,38.32,37.945,38.41,17452364,38.09,ORCL
10/2/2014,38.15,37.92,38.55,14808086,38.27,ORCL
10/3/2014,38.5,38.4,39.12,15297391,38.89,ORCL
10/6/2014,38.97,38.945,39.24,14172684,39.08,ORCL
10/7/2014,38.94,38.43,39.08,14319008,38.46,ORCL
10/8/2014,38.82,38.04,39.05,16005541,39.02,ORCL
10/9/2014,38.99,38.5101,39.21,15004850,38.74,ORCL
10/10/2014,38.66,38.09,39.1,18234076,38.1,ORCL
10/13/2014,38.11,37.86,38.78,20726811,38.23,ORCL
10/14/2014,38.66,38.42,39.04,19508558,38.46,ORCL
10/15/2014,37.98,37.18,38.43,24561729,38.3,ORCL
10/16/2014,37.99,37.52,38.18,21419265,37.56,ORCL
10/17/2014,37.69,37.34,38.015,21122693,37.87,ORCL
10/20/2014,36.31,35.82,37.81,16654138,37.8,ORCL
10/21/2014,38.29,38.04,38.47,15381873,38.35,ORCL
10/22/2014,38.37,37.58,38.43,16810178,37.64,ORCL
10/23/2014,38.08,38.01,38.5,9667612,38.23,ORCL
10/24/2014,38.32,38.25,38.74,8975999,38.73,ORCL
10/27/2014,38.5,38.35,38.72,7525291,38.43,ORCL
10/28/2014,38.34,38.34,38.73,11631828,38.65,ORCL
10/29/2014,38.73,38.46,38.74,10923907,38.58,ORCL
10/30/2014,38.4,38.39,38.66,9644217,38.5,ORCL
10/31/2014,38.88,38.825,39.05,16142821,39.05,ORCL
11/3/2014,39.02,38.76,39.04,10328160,38.99,ORCL
11/4/2014,38.93,38.9,39.15,12670998,39.13,ORCL
11/5/2014,39.34,39.11,39.51,12280284,39.29,ORCL
11/6/2014,39.22,39.11,39.86,11603443,39.81,ORCL
11/7/2014,39.69,39.61,39.97,13728462,39.94,ORCL
11/10/2014,39.97,39.89,40.49,11058074,40.45,ORCL
11/11/2014,40.53,40.35,40.59,7069322,40.47,ORCL
11/12/2014,40.56,40.045,40.59,10965147,40.14,ORCL
11/13/2014,40.17,39.89,40.77,11868670,40.72,ORCL
11/14/2014,40.86,40.63,41.07,11475967,40.84,ORCL
11/17/2014,40.71,40.63,41.2,11987579,41.16,ORCL
11/18/2014,41.19,41.11,41.4751,9328276,41.26,ORCL
11/19/2014,41.15,40.81,41.27,9202426,40.92,ORCL
11/20/2014,40.71,40.61,41.005,9062196,40.92,ORCL
11/21/2014,41.32,41.17,41.5,12641407,41.44,ORCL
11/24/2014,41.49,41.36,41.64,9540980,41.43,ORCL
11/25/2014,41.51,41.15,41.64,12404240,41.15,ORCL
11/26/2014,41.18,41.18,41.91,11590010,41.87,ORCL
11/28/2014,41.98,41.885,42.51,11890061,42.41,ORCL
12/1/2014,42.01,42.01,42.38,10802386,42.08,ORCL
12/2/2014,41.9,41.86,42.36,9083199,42.18,ORCL
12/3/2014,41.94,41.635,42.14,10326752,42.06,ORCL
12/4/2014,42.12,41.49,42.12,9247301,41.89,ORCL
12/5/2014,42.02,41.59,42.02,8925269,41.93,ORCL
12/8/2014,41.91,41.33,42.03,12766459,41.37,ORCL
12/9/2014,40.98,40.89,41.925,13890098,41.87,ORCL
12/10/2014,41.7,40.88,41.81,12547606,40.92,ORCL
12/11/2014,41.12,40.71,41.64,12395832,40.76,ORCL
12/12/2014,40.24,39.92,40.78,14108178,39.95,ORCL
12/15/2014,41.21,40.77,41.65,22343075,41.11,ORCL
12/16/2014,40.89,40.61,41.36,16424281,40.63,ORCL
12/17/2014,41.06,40.68,41.63,18151008,41.16,ORCL
12/18/2014,43.83,43.57,45.37,54491326,45.35,ORCL
12/19/2014,45.1,44.98,46.15,41782191,46,ORCL
12/22/2014,45.57,45.41,46.05,21264276,45.65,ORCL
12/23/2014,45.53,45.46,46.5,14041988,46.01,ORCL
12/24/2014,46.36,46.15,46.705,10241146,46.23,ORCL
12/26/2014,46.19,46.07,46.5,6901457,46.1,ORCL
12/29/2014,46.02,45.6,46.09,9701392,45.61,ORCL
12/30/2014,45.55,45.29,45.66,9968403,45.34,ORCL
12/31/2014,45.45,44.97,45.5599,13273705,44.97,ORCL
1/2/2015,45.02,43.97,45.1898,15070165,44.33,ORCL
1/5/2015,44.16,43.58,44.25,18375801,43.59,ORCL
1/6/2015,44.06,42.99,44.18,19229461,43.14,ORCL
1/7/2015,43.33,43.01,43.52,13501664,43.15,ORCL
1/8/2015,43.63,43.38,43.94,17516877,43.41,ORCL
1/9/2015,43.98,43.26,44.1,15911977,43.39,ORCL
1/12/2015,43.26,42.86,43.77,16055696,43.27,ORCL
1/13/2015,43.67,42.57,43.95,12877161,42.93,ORCL
1/14/2015,42.46,42.46,43.17,12707442,43.06,ORCL
1/15/2015,43.48,42.57,43.64,13430625,42.63,ORCL
1/16/2015,42.49,42.25,43.62,17786705,43.51,ORCL
1/20/2015,43.56,43.23,44.03,16306148,43.9,ORCL
1/21/2015,43.69,43.21,43.93,15876539,43.49,ORCL
1/22/2015,43.95,43.18,45.33,17969124,44.05,ORCL
1/23/2015,43.98,43.92,44.54,14150264,44.19,ORCL
1/26/2015,44.17,43.54,44.21,12059503,43.9,ORCL
1/27/2015,43.01,42.58,43.87,14984938,43.4,ORCL
1/28/2015,43.94,42.67,43.98,15132525,42.69,ORCL
1/29/2015,42.82,42.32,43.02,12805069,42.86,ORCL
1/30/2015,42.09,41.82,42.52,22590037,41.89,ORCL
2/2/2015,42.21,41.56,42.71,16889510,42.68,ORCL
