Date,Tweet,PermLink,retweets,Favourites,url,Geo
12/28/2018 3:31,b'Laurel Wealth Advisors Inc. Decreases Holdings in SPDR S&P 500 ETF Trust (SPY) https://www.thestockobserver.com/2018/12/28/laurel-wealth-advisors-inc-decreases-holdings-in-spdr-sp-500-etf-trust-spy.html \xe2\x80\xa6',b'https://twitter.com/stocknewstimes/status/1078614489799540736',0,0,b'https://www.thestockobserver.com/2018/12/28/laurel-wealth-advisors-inc-decreases-holdings-in-spdr-sp-500-etf-trust-spy.html',b''
12/27/2018 15:58,b'SPDR S&P 500 ETF Trust $ SPY Shares Up 5.1% http://dakotafinancialnews.com/?p=731504',b'https://twitter.com/dakotafinancial/status/1078440039212875777',0,0,b'http://dakotafinancialnews.com/?p=731504',b''
12/27/2018 15:13,b'USA: SPDR S&P 500 ETF Trust \xe2\x80\xa2 Dec 24 2018 \xe2\x80\xa2 $234.37 https://www.cnbc.com/quotes/?symbol=SPY \xe2\x80\xa6pic.twitter.com/HTD2fYm4D0',b'https://twitter.com/redball2/status/1078428606215278593',0,0,b'https://www.cnbc.com/quotes/?symbol=SPY',b''
12/27/2018 15:12,b'USA: SPDR S&P 500 ETF Trust \xe2\x80\xa2 Dec 24 2018 \xe2\x80\xa2 $234.37 https://www.cnbc.com/quotes/?symbol=SPY \xe2\x80\xa6pic.twitter.com/FZFk3C2873',b'https://twitter.com/redball2/status/1078428544466735105',0,0,b'https://www.cnbc.com/quotes/?symbol=SPY',b''
12/27/2018 13:21,b'SOCIAL ACTIVITY: $ SPYD - SPDR Series Trust SPDR Portfolio S&P 500 High Dividend ETF TradeIdeas via http://AlertTrade.us',b'https://twitter.com/AlertTrade/status/1078400516768448512',0,0,b'http://AlertTrade.us',b''
12/27/2018 11:06,b'Blue Edge Capital LLC Acquires 435 Shares of SPDR S&P 500 ETF Trust (SPY) https://theolympiareport.com/2018/12/26/blue-edge-capital-llc-acquires-435-shares-of-spdr-sp-500-etf-trust-spy.html \xe2\x80\xa6',b'https://twitter.com/salinafirm/status/1078366438895828994',1,1,b'https://theolympiareport.com/2018/12/26/blue-edge-capital-llc-acquires-435-shares-of-spdr-sp-500-etf-trust-spy.html',b''
12/27/2018 7:10,b'DOWNSIDE MOMENTUM ALERT: $ SPYD SPDR Series Trust SPDR Portfolio S&P 500 High Dividend ETF TradeIdeas via http://AlertTrade.us to FREE Trading Room',b'https://twitter.com/AlertTrade/status/1078307229860687872',0,0,b'http://AlertTrade.us',b''
12/27/2018 1:49,b'SPDR S&P 500 ETF Trust (SPY) Shares Sold by Cypress Capital Group https://www.thestockobserver.com/2018/12/27/spdr-sp-500-etf-trust-spy-shares-sold-by-cypress-capital-group.html \xe2\x80\xa6',b'https://twitter.com/stocknewstimes/status/1078226297447436288',0,0,b'https://www.thestockobserver.com/2018/12/27/spdr-sp-500-etf-trust-spy-shares-sold-by-cypress-capital-group.html',b''
12/26/2018 9:18,b'SOCIAL ACTIVITY: $ SPYG - SPDR Series Trust SPDR Portfolio S&P 500 Growth ETF TradeIdeas via http://AlertTrade.us',b'https://twitter.com/AlertTrade/status/1077976859168534529',0,0,b'http://AlertTrade.us',b''
12/26/2018 9:02,b'UPSIDE MOMENTUM ALERT: $ SPYG SPDR Series Trust SPDR Portfolio S&P 500 Growth ETF TradeIdeas via http://AlertTrade.us to FREE Trading Room',b'https://twitter.com/AlertTrade/status/1077972838139621376',0,1,b'http://AlertTrade.us',b''
12/26/2018 5:27,"b'Vista Private Wealth Partners. LLC Purchases Shares of 1,253 SPDR S&P 500 ETF Trust (SPY) https://www.thestockobserver.com/2018/12/26/vista-private-wealth-partners-llc-purchases-shares-of-1253-spdr-sp-500-etf-trust-spy.html \xe2\x80\xa6'",b'https://twitter.com/stocknewstimes/status/1077918707693879303',0,0,b'https://www.thestockobserver.com/2018/12/26/vista-private-wealth-partners-llc-purchases-shares-of-1253-spdr-sp-500-etf-trust-spy.html',b''
12/25/2018 6:20,b'SPDR S&P 500 ETF Trust (SPY) Shares Bought by Stelliam Investment Management LP https://www.thestockobserver.com/2018/12/25/spdr-sp-500-etf-trust-spy-shares-bought-by-stelliam-investment-management-lp.html \xe2\x80\xa6',b'https://twitter.com/stocknewstimes/status/1077569706633187328',0,0,b'https://www.thestockobserver.com/2018/12/25/spdr-sp-500-etf-trust-spy-shares-bought-by-stelliam-investment-management-lp.html',b''
12/24/2018 9:05,b'VOLUME RADAR ALERT: $ SPYG SPDR Series Trust SPDR Portfolio S&P 500 Growth ETF TradeIdeas via http://AlertTrade.us to FREE Trading Room',b'https://twitter.com/AlertTrade/status/1077248821535531008',0,0,b'http://AlertTrade.us',b''
12/24/2018 2:22,b'SPDR S&P 500 ETF Trust (SPY) Position Boosted by Covington Capital Management https://www.thestockobserver.com/2018/12/24/spdr-sp-500-etf-trust-spy-position-boosted-by-covington-capital-management.html \xe2\x80\xa6',b'https://twitter.com/stocknewstimes/status/1077147395920670721',0,0,b'https://www.thestockobserver.com/2018/12/24/spdr-sp-500-etf-trust-spy-position-boosted-by-covington-capital-management.html',b''
12/23/2018 6:25,b'Traders Buy Shares of SPDR S&P 500 ETF Trust $ SPY on Weakness http://thelincolnianonline.com/?p=2584229',b'https://twitter.com/ThisLincolnian/status/1076846137913561088',0,0,b'http://thelincolnianonline.com/?p=2584229',b''
12/23/2018 5:40,b'SPDR S&P 500 ETF Trust (SPY) Shares Sold by Vident Investment Advisory LLC https://www.thestockobserver.com/2018/12/23/spdr-sp-500-etf-trust-spy-shares-sold-by-vident-investment-advisory-llc.html \xe2\x80\xa6',b'https://twitter.com/stocknewstimes/status/1076834982717542400',0,0,b'https://www.thestockobserver.com/2018/12/23/spdr-sp-500-etf-trust-spy-shares-sold-by-vident-investment-advisory-llc.html',b''
12/22/2018 4:31,b'Traders Buy SPDR S&P 500 ETF Trust $ SPY on Weakness http://dakotafinancialnews.com/?p=721540',b'https://twitter.com/dakotafinancial/status/1076455091929010178',0,0,b'http://dakotafinancialnews.com/?p=721540',b''
