date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/2/2017,154.26,152.72,154.45,18524860,153.81,AAPL,10/2/2017,23.96030246,7.325141777,68.71455577,2116,41.83668863,7.325141777
10/3/2017,154.01,153.91,155.09,16146388,154.48,AAPL,10/3/2017,37.55458515,7.336244541,55.10917031,1145,41.82558586,7.336244541
10/4/2017,153.63,152.46,153.86,19844177,153.4508,AAPL,10/4/2017,41.13883557,11.83621241,47.02495202,1563,41.13883557,15.64943
10/5/2017,154.18,154.05,155.44,21032800,155.39,AAPL,10/5/2017,39.03884134,5.924950625,55.03620803,1519,43.23687976,5.924950625
10/6/2017,154.97,154.56,155.49,16423749,155.3,AAPL,10/6/2017,49.42648592,7.40354536,43.16996872,959,49.42648592,15.07174625
10/9/2017,155.81,155.485,156.73,16200129,155.84,AAPL,10/9/2017,33.55102041,7.673469388,58.7755102,1225,41.48836101,7.673469388
10/10/2017,156.055,155.1,158,15456331,155.9,AAPL,10/10/2017,36.69432036,7.913209955,55.39246969,1567,41.24862044,7.913209955
10/11/2017,155.97,155.75,156.98,16607693,156.55,AAPL,10/11/2017,37.94604003,10.53089643,51.52306353,1149,38.63093395,10.53089643
10/12/2017,156.35,155.7299,157.37,16045720,156,AAPL,10/12/2017,46.09306409,6.409130817,47.49780509,1139,46.09306409,9.749495332
10/13/2017,156.73,156.41,157.28,16287608,156.99,AAPL,10/13/2017,41.08251996,7.098491571,51.81898846,1127,42.06333881,7.098491571
10/16/2017,157.9,157.65,160,23894630,159.88,AAPL,10/16/2017,34.48275862,6.494252874,59.02298851,1740,42.66757752,6.494252874
10/17/2017,159.78,159.23,160.87,18816438,160.47,AAPL,10/17/2017,41.27594158,8.301306687,50.42275173,1301,41.27594158,8.716724562
10/18/2017,160.42,159.6,160.71,16158659,159.76,AAPL,10/18/2017,42.29217111,7.667473769,50.04035513,1239,42.29217111,8.465288244
10/19/2017,156.75,155.02,157.08,42111326,155.98,AAPL,10/19/2017,35.36697248,21.33027523,43.30275229,2180,35.36697248,28.86569255
10/20/2017,156.61,155.96,157.75,23612246,156.16,AAPL,10/20/2017,40.23715415,9.644268775,50.11857708,1265,40.23715415,10.3638613
10/23/2017,156.89,155.5,157.69,21654461,156.17,AAPL,10/23/2017,38.69426752,10.11146497,51.19426752,1256,39.05036543,10.11146497
10/24/2017,156.29,156.2,157.42,17137731,157.1,AAPL,10/24/2017,47.01030928,8.109965636,44.87972509,1455,47.01030928,14.06841015
10/25/2017,156.91,155.27,157.55,20126554,156.405,AAPL,10/25/2017,34.50244698,10.03262643,55.46492659,1226,39.12920396,10.03262643
