date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/2/2017,130.16,130.02,131.33,4437552,131.22,JNJ,10/2/2017,18.25153374,5.214723926,76.53374233,652,27.38446627,5.214723926
10/3/2017,131.65,131.36,132.4,3884422,132.1,JNJ,10/3/2017,17.96042618,5.02283105,77.01674277,657,27.57635915,5.02283105
10/4/2017,132.4,132.1,133.18,3578974,132.89,JNJ,10/4/2017,18.06358382,6.502890173,75.43352601,692,26.09630003,6.502890173
10/5/2017,132.89,132.36,133.31,3185559,133.19,JNJ,10/5/2017,21.28463476,5.793450882,72.92191436,794,26.80573933,5.793450882
10/6/2017,133,132.48,133.25,2464664,133.22,JNJ,10/6/2017,25.13020833,7.552083333,67.31770833,768,25.13020833,7.635184798
10/9/2017,133.66,133.17,133.815,3750502,133.45,JNJ,10/9/2017,14.89361702,4.964539007,80.14184397,705,27.63465119,4.964539007
10/10/2017,133.56,132.92,134.13,4121137,133.9,JNJ,10/10/2017,22.05882353,3.921568627,74.01960784,612,28.67762158,3.921568627
10/11/2017,134.88,134.37,137.08,8103275,136.65,JNJ,10/11/2017,23.31210191,4.585987261,72.10191083,785,28.01320294,4.585987261
10/12/2017,136.34,136.02,137.52,5018977,136.83,JNJ,10/12/2017,24.33510638,6.117021277,69.54787234,752,26.48216892,6.117021277
10/13/2017,136.6,136.34,137.42,4104533,136.43,JNJ,10/13/2017,18.95306859,3.068592058,77.97833935,554,29.53059815,3.068592058
10/16/2017,136.45,135.54,137.26,5114825,136.12,JNJ,10/16/2017,20.76502732,4.098360656,75.13661202,732,28.50082955,4.098360656
10/17/2017,137.67,137.06,141.12,11555970,140.79,JNJ,10/17/2017,26.26527051,4.712041885,69.02268761,1146,27.88714833,4.712041885
10/18/2017,140.79,140.07,141.58,6800409,140.68,JNJ,10/18/2017,16.40316206,2.56916996,81.02766798,1012,30.03002025,2.56916996
10/19/2017,140.71,140.535,142.98,8623640,142.04,JNJ,10/19/2017,20.37037037,4.62962963,75,864,27.96956058,4.62962963
10/20/2017,142.38,141.83,143.62,5620340,142.4,JNJ,10/20/2017,22.1822542,4.676258993,73.14148681,834,27.92293122,4.676258993
10/23/2017,142.13,142.081,144.3523,6669743,143.62,JNJ,10/23/2017,22.99012694,3.102961918,73.90691114,709,29.49622829,3.102961918
10/24/2017,143.38,140.93,143.38,5742798,141.64,JNJ,10/24/2017,21.64383562,4.383561644,73.97260274,730,28.21562857,4.383561644
10/25/2017,141.16,140.9594,143.23,4850811,142.42,JNJ,10/25/2017,23.58757062,3.531073446,72.88135593,708,29.06811676,3.531073446
10/26/2017,142.51,141.38,143.75,5834460,141.81,JNJ,10/26/2017,18.1425486,4.75161987,77.10583153,463,27.84757034,4.75161987
10/27/2017,141,140.2,142.7,5140109,141.78,JNJ,10/27/2017,26.61691542,3.980099502,69.40298507,402,28.6190907,3.980099502
10/30/2017,141.08,139.32,141.21,6012739,140,JNJ,10/30/2017,24.12060302,5.695142379,70.18425461,597,26.90404783,5.695142379
10/31/2017,140.02,138.98,140.26,4779360,139.41,JNJ,10/31/2017,16.71511628,6.25,77.03488372,688,26.3491902,6.25
11/1/2017,139.83,139.34,140.59,4985457,139.98,JNJ,11/1/2017,29.4198895,3.591160221,66.98895028,724,29.4198895,4.003019736
11/2/2017,140.11,139.11,140.29,3470804,139.93,JNJ,11/2/2017,22.58064516,8.467741935,68.9516129,744,24.13144827,8.467741935
11/3/2017,139.73,139.3,140.4,2735973,140.08,JNJ,11/3/2017,21.59763314,7.544378698,70.85798817,676,25.05481151,7.544378698
11/6/2017,140.01,139.72,140.49,4209904,139.76,JNJ,11/6/2017,18.86227545,4.041916168,77.09580838,668,28.55727403,4.041916168
11/7/2017,140.08,138.91,140.15,4169887,139.77,JNJ,11/7/2017,24.00548697,9.327846365,66.66666667,729,24.00548697,10.06198949
11/9/2017,140.86,139.8,141.41,3490210,140.35,JNJ,11/9/2017,26.41791045,10.14925373,63.43283582,670,26.41791045,14.11722771
11/10/2017,140.13,138.61,140.13,4231808,139.56,JNJ,11/10/2017,19.1626409,10.62801932,70.20933977,621,21.97117088,10.62801932
11/13/2017,139.01,138.42,140.02,4309741,139.76,JNJ,11/13/2017,24.56608812,10.41388518,65.0200267,749,24.56608812,12.79466827
11/14/2017,139.57,138.92,140.2843,4070870,139.49,JNJ,11/14/2017,22.5,9.761904762,67.73809524,840,22.83728545,9.761904762
11/15/2017,139.23,138.75,139.83,3736311,139.1,JNJ,11/15/2017,20,7.830188679,72.16981132,1060,24.76900152,7.830188679
11/16/2017,139.42,138.64,139.68,4173520,138.87,JNJ,11/16/2017,22.57398486,8.189951824,69.23606332,1453,24.40923839,8.189951824
11/17/2017,138.3,137.89,138.86,4112134,138,JNJ,11/17/2017,18.0952381,9.047619048,72.85714286,1050,23.55157117,9.047619048
11/20/2017,138.15,137.74,138.56,4262306,137.93,JNJ,11/20/2017,21.88481675,9.738219895,68.37696335,955,22.8609703,9.738219895
11/21/2017,138.45,138.19,139.26,5654616,138.34,JNJ,11/21/2017,25,11.73913043,63.26086957,920,25,15.87907066
11/22/2017,138.3,136.6,138.38,3917002,137.29,JNJ,11/22/2017,27.36196319,9.570552147,63.06748466,815,27.36196319,13.90387728
11/24/2017,137.5,137.31,138.38,2606832,138.01,JNJ,11/24/2017,22.62382865,22.08835341,55.28781794,747,22.62382865,34.20134527
11/27/2017,137.51,137.48,138.31,3929055,138.1,JNJ,11/27/2017,23.02052786,23.31378299,53.66568915,682,23.02052786,37.04890364
11/28/2017,138.3,138.2517,140.53,4990975,140.02,JNJ,11/28/2017,25.52800735,20.84481175,53.6271809,1089,25.52800735,34.61844065
11/29/2017,140.22,138.95,140.63,5180396,139.81,JNJ,11/29/2017,22.34432234,19.9023199,57.75335775,819,22.34432234,29.54977195
11/30/2017,140.06,138.48,140.28,8793617,139.33,JNJ,11/30/2017,19.76450799,12.53153911,67.7039529,1189,20.0676511,12.53153911
12/1/2017,139.57,138.6,140.53,5983959,139.98,JNJ,12/1/2017,23.94540943,16.00496278,60.04962779,806,23.94540943,23.35614478
12/4/2017,140.62,138.93,141.5,5547138,139.01,JNJ,12/4/2017,22.09856916,9.697933227,68.20349762,629,22.90125698,9.697933227
12/5/2017,139.88,139.2,140.81,6738613,139.67,JNJ,12/5/2017,23.88535032,5.414012739,70.70063694,628,27.18517746,5.414012739
12/6/2017,140.25,140.19,141.96,5304506,141.06,JNJ,12/6/2017,25.61863173,7.714701601,66.66666667,687,25.61863173,8.448844726
12/7/2017,141,139.26,141.499,4705180,140.01,JNJ,12/7/2017,17.33333333,8.740740741,73.92592593,675,23.85844947,8.740740741
12/8/2017,140,139.8,140.76,4343488,140.59,JNJ,12/8/2017,21.9047619,5.476190476,72.61904762,420,27.12299973,5.476190476
12/11/2017,140.1,139.83,141.17,4325895,141.14,JNJ,12/11/2017,23.25581395,7.906976744,68.8372093,645,24.69221345,7.906976744
12/12/2017,142.06,142.04,143.57,8013643,142.6,JNJ,12/12/2017,25.96754057,8.239700375,65.79275905,801,25.96754057,9.84775112
12/13/2017,142.5,142.21,143.43,5754026,142.89,JNJ,12/13/2017,20.35977105,7.195421096,72.44480785,1223,25.40376911,7.195421096
12/14/2017,143.6,141.61,143.62,5332273,141.65,JNJ,12/14/2017,23.60876897,8.768971332,67.6222597,593,23.83021888,8.768971332
12/15/2017,142.73,141.78,143.14,12012749,142.46,JNJ,12/15/2017,25.92592593,7.407407407,66.66666667,540,25.92592593,8.141550532
12/18/2017,142.43,141.401,143.8,5821869,141.8,JNJ,12/18/2017,26.31578947,8.658743633,65.02546689,589,26.31578947,11.03408654
12/19/2017,141.72,141.36,142.38,6453244,141.78,JNJ,12/19/2017,23.99328859,8.724832215,67.28187919,596,23.99328859,8.84376282
12/20/2017,142.29,141.08,142.58,5933448,141.16,JNJ,12/20/2017,25.63131313,11.86868687,62.5,792,25.63131313,16.76949667
12/21/2017,141.76,141.02,142.17,5501307,141.06,JNJ,12/21/2017,21.94357367,10.18808777,67.86833856,638,22.41110243,10.18808777
12/22/2017,140.9,140.04,141.35,4655340,140.12,JNJ,12/22/2017,25.44169611,10.42402827,64.13427562,566,25.44169611,13.69056245
12/26/2017,140.46,139.68,140.54,3268365,140.09,JNJ,12/26/2017,19.66873706,8.488612836,71.8426501,483,24.11057737,8.488612836
12/27/2017,140.42,140.2,141.15,3645694,140.57,JNJ,12/27/2017,19.46508172,6.092124814,74.44279346,673,26.50706539,6.092124814
12/28/2017,140.7,140.33,141,2237834,140.56,JNJ,12/28/2017,24.33297759,13.660619,62.00640342,937,24.33297759,19.05502538
12/29/2017,140.98,139.58,141.2074,4419945,139.72,JNJ,12/29/2017,25.03660322,8.345534407,66.61786237,683,25.03660322,9.128481832
1/2/2018,139.66,138.72,139.95,6835739,139.23,JNJ,1/2/2018,31.11111111,6.666666667,62.22222222,630,31.11111111,11.84525424
1/3/2018,139.36,138.9,140.68,5241755,140.56,JNJ,1/3/2018,24.48979592,8.163265306,67.34693878,441,24.48979592,8.217136321
1/4/2018,140.45,140.22,141.14,4777518,140.55,JNJ,1/4/2018,24.46043165,9.832134293,65.70743405,417,24.46043165,11.52551004
1/5/2018,140.69,140.281,141.82,5900718,141.71,JNJ,1/5/2018,22.93762575,9.054325956,68.00804829,497,23.54486425,9.054325956
1/8/2018,141.7,140.92,142,4980217,141.89,JNJ,1/8/2018,23.06079665,9.014675052,67.9245283,477,23.58451515,9.014675052
1/9/2018,142.37,142.26,145.68,8888967,144.14,JNJ,1/9/2018,30.8310992,9.115281501,60.0536193,746,30.8310992,16.462472
1/10/2018,143.55,143.32,144.155,6556440,143.97,JNJ,1/10/2018,24.74048443,10.38062284,64.87889273,578,24.74048443,12.9025399
1/11/2018,144.13,143.69,144.9,4909267,144.79,JNJ,1/11/2018,22.52427184,7.766990291,69.70873786,515,24.83219991,7.766990291
1/12/2018,144.99,144.9,146.42,5430284,145.76,JNJ,1/12/2018,23.43387471,9.512761021,67.05336427,431,23.43387471,9.860206546
1/16/2018,146.42,146.03,148.06,7864158,146.86,JNJ,1/16/2018,18.44863732,8.385744235,73.16561845,477,24.21344597,8.385744235
1/17/2018,147.84,145.48,148.32,10612314,146.98,JNJ,1/17/2018,25.4174397,7.235621521,67.34693878,539,25.4174397,7.289492536
1/18/2018,146.93,145.97,147.44,5219314,146.92,JNJ,1/18/2018,23.33333333,9.583333333,67.08333333,480,23.33333333,9.900809798
1/19/2018,147.46,146.42,147.65,8704553,147.36,JNJ,1/19/2018,22.73781903,6.496519722,70.76566125,431,26.10267048,6.496519722
1/22/2018,147.01,146.72,148.14,6505696,148.14,JNJ,1/22/2018,23.05246423,9.697933227,67.24960254,629,23.05246423,9.849140482
1/23/2018,146.96,141.62,147.44,16897226,141.83,JNJ,1/23/2018,31.21597096,9.618874773,59.16515426,1102,31.21597096,17.85453031
1/24/2018,143.5,141.8,143.56,12373680,142.07,JNJ,1/24/2018,25.41208791,9.615384615,64.97252747,728,25.41208791,12.04366694
1/25/2018,142.31,142.2105,144.66,7542612,144.4,JNJ,1/25/2018,20.50290135,11.02514507,68.47195358,517,21.57404514,11.02514507
1/26/2018,144.5,144.13,145.6,6979094,145.33,JNJ,1/26/2018,21.62162162,7.125307125,71.25307125,407,25.47388308,7.125307125
1/29/2018,144.85,143.53,144.94,7766129,143.68,JNJ,1/29/2018,16.63244353,6.981519507,76.38603696,487,25.61767069,6.981519507
1/30/2018,143.4,142.43,143.82,8178194,142.43,JNJ,1/30/2018,17.68421053,4.421052632,77.89473684,475,28.17813757,4.421052632
1/31/2018,142.57,138.1,142.57,13022358,138.19,JNJ,1/31/2018,25.31380753,9.623430962,65.06276151,478,25.31380753,11.96147925
2/1/2018,137.53,137,140.67,9372485,140.02,JNJ,2/1/2018,21.29032258,7.741935484,70.96774194,465,24.85725472,7.741935484
2/2/2018,139.02,137.38,140.36,9197500,137.68,JNJ,2/2/2018,23.78640777,6.310679612,69.90291262,412,26.28851059,6.310679612
2/5/2018,136.58,122.15,137,19475494,130.39,JNJ,2/5/2018,21.4028777,14.38848921,64.20863309,556,21.4028777,17.58066591
2/6/2018,130.01,128,132.99,19102631,131.83,JNJ,2/6/2018,29.61783439,10.82802548,59.55414013,628,29.61783439,18.67469515
2/7/2018,131.89,131.35,133.43,10436291,131.42,JNJ,2/7/2018,30.60200669,11.37123746,58.02675585,598,30.60200669,20.74529141
2/8/2018,130.91,126.11,131.25,11617736,126.36,JNJ,2/8/2018,25.3411306,7.992202729,66.66666667,513,25.3411306,8.726345854
2/9/2018,127.52,125.44,130.92,14917886,129.53,JNJ,2/9/2018,24.02745995,13.04347826,62.92906178,437,24.02745995,17.51522628
