date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/2/2017,27.94,27.775,28.39,2943482,28.38,JNPR,10/2/2017,23.07692308,7.692307692,69.23076923,39,29.51007326,7.692307692
10/3/2017,28.37,28.125,28.55,3125324,28.54,JNPR,10/3/2017,11.11111111,16.66666667,72.22222222,36,20.53571428,16.66666667
10/4/2017,28.54,28.34,28.765,5707859,28.69,JNPR,10/4/2017,27.27272727,6.060606061,66.66666667,33,31.14177489,6.060606061
10/5/2017,28.7,28.37,28.81,4438004,28.45,JNPR,10/5/2017,19.48051948,5.194805195,75.32467532,77,32.00757575,5.194805195
10/6/2017,28.42,28.355,28.63,5942652,28.43,JNPR,10/6/2017,29.09090909,14.54545455,56.36363636,55,29.09090909,20.97943724
10/9/2017,28.36,27.195,28.36,8476937,27.32,JNPR,10/9/2017,44.61538462,1.538461538,53.84615385,65,44.61538462,10.48992674
10/10/2017,27.4,27.24,27.61,4842701,27.31,JNPR,10/10/2017,35.8490566,3.773584906,60.37735849,53,35.8490566,6.193845466
10/11/2017,27,26.26,27,10695274,26.86,JNPR,10/11/2017,37.42331288,10.42944785,52.14723926,163,37.42331288,21.07982764
10/12/2017,25.72,25.08,26.7,19813465,25.47,JNPR,10/12/2017,25.78947368,12.63157895,61.57894737,190,25.78947368,13.85025063
10/13/2017,25.43,25.19,25.92,7977791,25.82,JNPR,10/13/2017,30.86419753,1.234567901,67.90123457,81,35.96781305,1.234567901
10/16/2017,25.75,25.75,26.199,6023855,26.04,JNPR,10/16/2017,18,6,76,50,31.20238095,6
10/17/2017,26,25.93,26.12,4009121,26.11,JNPR,10/17/2017,42.25352113,4.225352113,53.52112676,71,42.25352113,13.5018444
10/18/2017,26.12,26.04,26.24,3580066,26.08,JNPR,10/18/2017,32.53012048,25.30120482,42.1686747,83,32.53012048,45.93014917
10/19/2017,25.93,25.79,26.09,3195967,25.82,JNPR,10/19/2017,35.41666667,13.54166667,51.04166667,96,35.41666667,25.29761905
10/20/2017,26.06,26,26.195,3498121,26.03,JNPR,10/20/2017,16.66666667,8.771929825,74.56140351,114,28.43045113,8.771929825
10/23/2017,26.12,25.745,26.16,4905321,25.76,JNPR,10/23/2017,33.67346939,8.163265306,58.16326531,98,33.67346939,12.79761905
10/24/2017,25.81,25.79,26.23,5730260,26.16,JNPR,10/24/2017,29.7752809,10.11235955,60.11235955,178,29.7752809,12.79761905
10/25/2017,24.07,23.87,25.1,13300472,24.56,JNPR,10/25/2017,29.218107,9.87654321,60.90534979,243,29.218107,11.76881247
10/26/2017,24.56,24.5,24.93,9890347,24.86,JNPR,10/26/2017,26.17449664,2.684563758,71.1409396,149,34.51781719,2.684563758
10/27/2017,24.94,24.78,25.28,7826062,25.2,JNPR,10/27/2017,26.08695652,20.65217391,53.26086957,92,26.08695652,30.18892339
10/30/2017,25.21,24.73,25.23,6388199,24.92,JNPR,10/30/2017,26.41509434,13.20754717,60.37735849,53,26.41509434,15.62780773
10/31/2017,24.92,24.8,25.175,6691534,24.83,JNPR,10/31/2017,22.58064516,9.677419355,67.74193548,62,27.52496159,9.677419355
11/1/2017,25,24.51,25,6596449,24.86,JNPR,11/1/2017,39.47368421,2.631578947,57.89473684,38,39.47368421,7.534461157
11/2/2017,24.79,24.37,24.82,5526082,24.4,JNPR,11/2/2017,18.0952381,5.714285714,76.19047619,105,31.48809524,5.714285714
