date,open,low,high,volume,close,Name,Date,Positve,Negative,Neutral,Total,NeutralPos,NeutralNeg
10/2/2017,48.72,48.57,49,24900992,48.8,ORCL,10/2/2017,33.22147651,8.724832215,58.05369128,298,33.22147651,10.12770919
10/3/2017,48.95,48.54,48.96,12589710,48.69,ORCL,10/3/2017,31.44654088,9.433962264,59.11949686,159,31.44654088,9.771033654
10/4/2017,48.99,48.76,49.19,15064090,48.9,ORCL,10/4/2017,51.17647059,5.294117647,43.52941176,170,51.17647059,21.22127414
10/5/2017,48.96,48.5,49.03,13397541,48.91,ORCL,10/5/2017,38,10.5,51.5,200,38,18.45656825
10/6/2017,48.64,48.22,48.7,16229837,48.4,ORCL,10/6/2017,22.03389831,9.322033898,68.6440678,118,31.22139786,9.322033898
10/9/2017,48.36,48.17,48.58,10168040,48.36,ORCL,10/9/2017,24.13793103,9.195402299,66.66666667,87,31.34802945,9.195402299
10/10/2017,48.16,48,48.46,15628634,48.21,ORCL,10/10/2017,28.57142857,8.163265306,63.26530612,49,32.38016644,8.163265306
10/11/2017,48.16,48.16,48.47,11985748,48.28,ORCL,10/11/2017,36.95652174,6.52173913,56.52173913,46,36.95652174,9.45656825
10/12/2017,48.27,48.11,48.48,11426690,48.23,ORCL,10/12/2017,32,4,64,50,36.54343175,4
10/13/2017,48.37,48.33,48.71,9766723,48.61,ORCL,10/13/2017,27.45098039,7.843137255,64.70588235,51,32.70029449,7.843137255
10/16/2017,48.61,48.49,48.91,9358504,48.86,ORCL,10/16/2017,16.92307692,4.615384615,78.46153846,65,35.92804713,4.615384615
10/17/2017,48.82,48.71,49.3,12921747,49.19,ORCL,10/17/2017,26.66666667,5.333333333,68,75,35.21009842,5.333333333
10/18/2017,49.5,49.16,49.76,12061640,49.58,ORCL,10/18/2017,27.84810127,7.594936709,64.55696203,79,32.94849505,7.594936709
10/19/2017,49.44,49.19,49.67,10036371,49.35,ORCL,10/19/2017,27.39726027,6.849315068,65.75342466,73,33.69411668,6.849315068
10/20/2017,49.54,49.16,49.79,15467878,49.25,ORCL,10/20/2017,26.58227848,7.594936709,65.82278481,79,32.94849504,7.594936709
10/23/2017,49.28,49.22,49.66,14600343,49.31,ORCL,10/23/2017,18.60465116,9.302325581,72.09302326,86,31.24110617,9.302325581
10/24/2017,49.33,49.25,50.14,17212076,49.98,ORCL,10/24/2017,29.11392405,10.12658228,60.75949367,79,30.41684947,10.12658228
10/25/2017,49.89,49.64,50.65,19163506,49.705,ORCL,10/25/2017,29.89690722,6.18556701,63.91752577,97,34.35786474,6.18556701
10/26/2017,50.11,49.77,50.3,16915265,50.15,ORCL,10/26/2017,24.65753425,16.43835616,58.90410959,73,24.65753425,16.99081482
10/27/2017,50.29,50.03,50.97,14960486,50.88,ORCL,10/27/2017,26.25,6.25,67.5,80,34.29343175,6.25
10/30/2017,50.63,50.235,50.75,9013256,50.68,ORCL,10/30/2017,34.48275862,3.448275862,62.06896552,58,37.09515589,3.448275862
10/31/2017,50.73,50.45,51.28,14104114,50.9,ORCL,10/31/2017,28.37837838,8.108108108,63.51351351,74,32.43532364,8.108108108
11/1/2017,51.1,50.57,51.17,10064430,50.64,ORCL,11/1/2017,27.27272727,9.090909091,63.63636364,55,31.45252266,9.090909091
11/2/2017,50.54,50.12,50.7,10348803,50.28,ORCL,11/2/2017,18.51851852,5.555555556,75.92592593,54,34.9878762,5.555555556
11/3/2017,50.36,50.16,50.44,15812451,50.18,ORCL,11/3/2017,25.71428571,7.142857143,67.14285714,70,33.4005746,7.142857143
11/6/2017,50.1,50.0224,50.55,9636550,50.4,ORCL,11/6/2017,25.37313433,8.955223881,65.67164179,67,31.58820787,8.955223881
11/7/2017,50.43,50.08,50.58,6782345,50.49,ORCL,11/7/2017,24.19354839,14.51612903,61.29032258,62,26.02730272,14.51612903
11/9/2017,50.14,48.54,50.22,16153934,49.24,ORCL,11/9/2017,24.67532468,6.493506494,68.83116883,77,34.04992526,6.493506494
11/10/2017,49,48.745,49.37,9818996,49.32,ORCL,11/10/2017,24.24242424,16.66666667,59.09090909,66,24.24242424,17.03232583
11/13/2017,49.1,49.055,49.43,6287832,49.4,ORCL,11/13/2017,26.88172043,3.225806452,69.89247312,93,37.3176253,3.225806452
11/14/2017,49.32,48.9,49.33,8438815,49.2,ORCL,11/14/2017,32.14285714,7.142857143,60.71428571,56,33.4005746,7.142857143
