date,open,low,high,volume,close,Name
1/2/2014,555.68,552.021,557.03,8381600,553.13,AAPL
1/3/2014,552.86,540.43,553.7,14016700,540.98,AAPL
1/6/2014,537.45,533.6,546.8,14736100,543.93,AAPL
1/7/2014,544.32,537.925,545.96,11328900,540.0375,AAPL
1/8/2014,538.81,538.69,545.56,9233200,543.46,AAPL
1/9/2014,546.8,535.3501,546.86,9969600,536.519,AAPL
1/10/2014,539.83,531.11,540.8,10892000,532.94,AAPL
1/13/2014,529.91,529.88,542.5,13517600,535.73,AAPL
1/14/2014,538.22,537.66,546.73,11877200,546.39,AAPL
1/15/2014,553.52,551.66,560.2,13987100,557.36,AAPL
1/16/2014,554.9,551.68,556.85,8188500,554.25,AAPL
1/17/2014,551.48,539.9,552.07,15240700,540.67,AAPL
1/21/2014,540.99,540.42,550.07,11733100,549.07,AAPL
1/22/2014,550.9147,547.81,557.29,13570900,551.51,AAPL
1/23/2014,549.94,544.8064,556.5,14401400,556.18,AAPL
1/24/2014,554,544.75,555.62,15334100,546.07,AAPL
1/27/2014,550.07,545.75,554.8,19817100,550.5,AAPL
1/28/2014,508.76,502.07,515,38054400,506.5,AAPL
1/29/2014,503.95,498.62,507.37,17957500,500.75,AAPL
1/30/2014,502.54,496.7,506.5,24232200,499.782,AAPL
1/31/2014,495.18,493.55,501.53,16599900,500.6,AAPL
2/3/2014,502.61,499.3,507.73,14338000,501.53,AAPL
2/4/2014,505.85,502.76,509.46,13452900,508.79,AAPL
2/5/2014,506.56,506.2519,515.28,11726600,512.59,AAPL
2/6/2014,510.06,507.81,513.5,9205900,512.51,AAPL
2/7/2014,521.38,517.38,522.9299,13224300,519.68,AAPL
2/10/2014,518.66,518,531.99,12341400,528.99,AAPL
2/11/2014,530.61,529.5,537.75,10080600,535.96,AAPL
2/12/2014,536.95,533.24,539.56,11003600,535.92,AAPL
2/13/2014,534.66,534.2,544.85,10978500,544.43,AAPL
2/14/2014,542.47,541.21,545.9799,9747300,543.99,AAPL
2/18/2014,546,545.61,551.19,9294700,545.99,AAPL
2/19/2014,544.75,534.35,546.89,11206000,537.37,AAPL
2/20/2014,532.99,529,537,10923500,531.15,AAPL
2/21/2014,532.7927,524.6,534.57,9956600,525.25,AAPL
2/24/2014,523.15,522.42,529.9199,10318200,527.55,AAPL
2/25/2014,529.38,521,529.565,8284000,522.06,AAPL
2/26/2014,523.61,515.6,525,9864900,517.35,AAPL
2/27/2014,517.14,516.05,528.78,10781500,527.67,AAPL
2/28/2014,529.08,522.12,532.75,13284600,526.24,AAPL
3/3/2014,523.42,522.81,530.65,8527900,527.76,AAPL
3/4/2014,531,527.77,532.64,9255000,531.24,AAPL
3/5/2014,530.92,529.13,534.75,7145100,532.36,AAPL
3/6/2014,532.79,528.1,534.4399,6624600,530.75,AAPL
3/7/2014,531.09,526.05,531.98,7883200,530.44,AAPL
3/10/2014,528.36,528.3391,533.33,6378000,530.92,AAPL
3/11/2014,535.45,532.59,538.74,9972300,536.09,AAPL
3/12/2014,534.51,532,537.35,7118800,536.61,AAPL
3/13/2014,537.44,529.16,539.66,9205100,530.65,AAPL
3/14/2014,528.79,523,530.89,8471400,524.69,AAPL
3/17/2014,527.7,525.85,529.97,7126600,526.74,AAPL
3/18/2014,525.9,525.2001,531.97,7487400,531.4,AAPL
3/19/2014,532.26,529,536.24,8027000,531.26,AAPL
3/20/2014,529.89,527.35,532.67,7442800,528.7,AAPL
3/21/2014,531.93,526.33,533.75,13358800,532.87,AAPL
3/24/2014,538.42,535.06,540.5,12703600,539.19,AAPL
3/25/2014,541.5,539.59,545.75,10081900,544.99,AAPL
3/26/2014,546.52,538.86,549,10706000,539.78,AAPL
3/27/2014,540.015,535.1201,541.5,7929700,537.46,AAPL
3/28/2014,538.32,534.25,538.9399,7163000,536.86,AAPL
3/31/2014,539.23,535.93,540.81,6023900,536.74,AAPL
4/1/2014,537.76,536.77,541.87,7170000,541.65,AAPL
4/2/2014,542.38,540.26,543.48,6443600,542.55,AAPL
4/3/2014,541.39,537.64,542.5,5798000,538.79,AAPL
4/4/2014,539.81,530.58,540,9830400,531.82,AAPL
4/7/2014,528.02,521.89,530.9,10351800,523.47,AAPL
4/8/2014,525.19,518.7001,526.12,8710300,523.44,AAPL
4/9/2014,522.64,522.02,530.49,7363200,530.32,AAPL
4/10/2014,530.68,523.17,532.24,8559000,523.48,AAPL
4/11/2014,519,517.14,522.83,9704200,519.61,AAPL
4/14/2014,521.9,517.21,522.16,7345500,521.68,AAPL
4/15/2014,520.27,511.33,521.64,9517500,517.9599,AAPL
4/16/2014,518.05,514.1354,521.09,7670200,519.01,AAPL
4/17/2014,520,519.2,527.76,10154800,524.94,AAPL
4/21/2014,525.34,523.96,532.14,6519600,531.17,AAPL
4/22/2014,528.31,526.501,531.826,7234400,531.699,AAPL
4/23/2014,529.06,524.45,531.13,14105000,524.75,AAPL
4/24/2014,568.21,560.73,570,27139700,567.77,AAPL
4/25/2014,564.53,563.96,571.99,13938400,571.94,AAPL
4/28/2014,572.8,572.55,595.75,23910200,594.09,AAPL
4/29/2014,593.74,589.51,595.98,12049200,592.33,AAPL
4/30/2014,592.64,589.8,599.43,16308600,590.09,AAPL
5/1/2014,592,586.36,594.8,8716000,591.48,AAPL
5/2/2014,592.34,589.71,594.2,6839800,592.58,AAPL
5/5/2014,590.14,590,601,10252400,600.96,AAPL
5/6/2014,601.8,594.41,604.4099,13377300,594.41,AAPL
5/7/2014,595.25,587.73,597.29,10102300,592.33,AAPL
5/8/2014,588.25,586.4,594.41,8224900,587.99,AAPL
5/9/2014,584.54,580.33,586.25,10414200,585.5425,AAPL
5/12/2014,587.49,587.4,593.66,7614600,592.83,AAPL
5/13/2014,592,590.7,594.54,5704900,593.76,AAPL
5/14/2014,592.43,591.74,597.4,5943000,593.87,AAPL
5/15/2014,594.7,588.04,596.6,8244500,588.82,AAPL
5/16/2014,588.63,585.4,597.53,9866300,597.51,AAPL
5/19/2014,597.85,597.33,607.33,11348400,604.59,AAPL
5/20/2014,604.51,600.73,606.4,8387000,604.71,AAPL
5/21/2014,603.83,602.06,606.7,7030700,606.31,AAPL
5/22/2014,606.6,604.1,609.85,7170000,607.27,AAPL
5/23/2014,607.25,606.47,614.7293,8293200,614.13,AAPL
5/27/2014,615.88,615.63,625.86,12459500,625.63,AAPL
5/28/2014,626.02,623.78,629.83,11267200,624.01,AAPL
5/29/2014,627.85,627.77,636.87,13445500,635.38,AAPL
5/30/2014,637.98,628.9,644.17,20143600,633,AAPL
6/2/2014,633.96,622.5,634.83,13191100,628.65,AAPL
6/3/2014,628.46,628.25,638.74,10453900,637.54,AAPL
6/4/2014,637.44,636.11,647.89,11981500,644.82,AAPL
6/5/2014,646.2,642.61,649.3699,10850200,647.35,AAPL
6/6/2014,649.9,644.47,651.26,12497800,645.57,AAPL
6/9/2014,92.7,91.75,93.88,75414997,93.7,AAPL
6/10/2014,94.73,93.57,95.05,62777000,94.25,AAPL
6/11/2014,94.13,93.47,94.76,45681000,93.86,AAPL
6/12/2014,94.04,91.9,94.12,54749000,92.29,AAPL
6/13/2014,92.2,90.88,92.44,54525000,91.28,AAPL
6/16/2014,91.51,91.45,92.75,35561000,92.2,AAPL
6/17/2014,92.31,91.8,92.7,29726000,92.08,AAPL
