date,open,low,high,volume,close,Name
1/2/2014,91.14,91.01,91.73,5919600,91.03,JNJ
1/3/2014,91.29,91.26,92.22,5637600,91.85,JNJ
1/6/2014,91.93,91.87,92.75,7443500,92.33,JNJ
1/7/2014,93.04,92.99,94.62,11063300,94.29,JNJ
1/8/2014,94.17,93.88,94.6,9096700,94.16,JNJ
1/9/2014,94.94,94.09,95.38,7944700,94.73,JNJ
1/10/2014,94.64,94.14,94.975,6697400,94.74,JNJ
1/13/2014,94.37,94.06,94.99,9589200,94.5,JNJ
1/14/2014,94.6,94.32,94.9,7567300,94.72,JNJ
1/15/2014,94.65,94.51,95.2701,7390700,94.8,JNJ
1/16/2014,94.6,94.23,95.0884,8401100,94.64,JNJ
1/17/2014,94.72,94.38,95.17,13714400,95.06,JNJ
1/21/2014,94.93,92.62,95.1,16368400,94.03,JNJ
1/22/2014,93.99,93.54,94.55,8875500,94.32,JNJ
1/23/2014,93.74,92.41,93.8,9322300,92.74,JNJ
1/24/2014,92.12,90.61,92.61,10604200,90.61,JNJ
1/27/2014,90.3,89.85,90.76,8685200,89.94,JNJ
1/28/2014,90.58,89.79,90.6,8254400,90.1,JNJ
1/29/2014,89.47,88.53,89.71,11160100,88.9,JNJ
1/30/2014,89.62,89.01,89.78,6874900,89.5,JNJ
1/31/2014,89.01,88.15,89.34,12193800,88.47,JNJ
2/3/2014,88.75,86.61,88.78,13944600,86.78,JNJ
2/4/2014,86.93,86.09,87.28,11436400,86.62,JNJ
2/5/2014,86.49,86.48,87.67,10667300,87.28,JNJ
2/6/2014,87.63,87.55,88.76,10037900,88.75,JNJ
2/7/2014,88.92,88.61,90.04,9435100,90.04,JNJ
2/10/2014,90.24,89.8,91.08,8080200,91.07,JNJ
2/11/2014,91.09,90.95,92.97,11556300,92.97,JNJ
2/12/2014,92.95,91.95,92.99,7696100,92.42,JNJ
2/13/2014,92,91.71,92.62,5926000,92.56,JNJ
2/14/2014,92.6,92.0282,92.945,5485100,92.76,JNJ
2/18/2014,92.77,92.09,92.85,6926500,92.17,JNJ
2/19/2014,92.15,91.57,92.75,7693400,91.64,JNJ
2/20/2014,91.69,91.31,92.73,8160100,92.38,JNJ
2/21/2014,91.86,91.45,92.245,7381500,91.52,JNJ
2/24/2014,91.45,91.1,92.06,8406700,91.11,JNJ
2/25/2014,91.59,90.66,91.87,6383400,91.11,JNJ
2/26/2014,91.11,90.77,91.54,6334100,91.11,JNJ
2/27/2014,91.16,90.75,91.42,7040300,91.36,JNJ
2/28/2014,91.42,91.06,92.64,9643700,92.12,JNJ
3/3/2014,91.13,90.83,91.98,7506700,91.56,JNJ
3/4/2014,92.47,92.25,93.46,8796300,93.34,JNJ
3/5/2014,93.27,92.38,93.3,6842500,92.59,JNJ
3/6/2014,93.19,92.82,93.65,7718300,92.89,JNJ
3/7/2014,93.37,92.6901,93.48,6792000,93.32,JNJ
3/10/2014,93.17,92.79,93.49,4878200,93.45,JNJ
3/11/2014,93.71,93.09,93.75,5837200,93.49,JNJ
3/12/2014,92.82,92.65,93.62,6154900,93.6,JNJ
3/13/2014,93.85,92.98,94.2,7659400,93,JNJ
3/14/2014,92.88,92.46,93.44,7337800,92.81,JNJ
3/17/2014,93.26,93.18,94.18,5872600,93.93,JNJ
3/18/2014,93.9,93.48,94.24,5891900,93.94,JNJ
3/19/2014,93.89,92.92,94.36,5937600,93.59,JNJ
3/20/2014,93.52,92.96,94.19,5727400,94.12,JNJ
3/21/2014,94.77,93.88,95.93,23988800,95.93,JNJ
3/24/2014,95.3,94.54,95.43,13944100,95.2,JNJ
3/25/2014,95.7,95.7,97.7,14167300,97.38,JNJ
3/26/2014,97.51,97.05,98.47,11215100,97.05,JNJ
3/27/2014,97.08,96.26,97.7,8694600,97.28,JNJ
3/28/2014,97.51,96.96,98.22,8816000,97.44,JNJ
3/31/2014,98,97.61,98.6,7545700,98.23,JNJ
4/1/2014,98.31,97.37,98.68,7068500,97.94,JNJ
4/2/2014,98.01,97.37,98.39,7995600,98.23,JNJ
4/3/2014,97.97,97.53,98.34,5471200,98.26,JNJ
4/4/2014,98.62,98.32,99.38,10309700,98.42,JNJ
4/7/2014,98.39,97.83,99.36,11409200,97.89,JNJ
4/8/2014,98.03,97.5,98.725,9601800,98.06,JNJ
4/9/2014,98.42,97.78,99,8921300,98.95,JNJ
4/10/2014,98.86,96.52,98.93,9667800,96.54,JNJ
4/11/2014,96.2,96.05,97.199,8710700,96.87,JNJ
4/14/2014,97.28,96.25,97.36,8617200,97.14,JNJ
4/15/2014,98.45,98.05,99.21,13999100,99.2,JNJ
4/16/2014,99.57,98.07,99.71,11308000,98.75,JNJ
4/17/2014,98.69,98.69,99.65,9153500,98.96,JNJ
