date,open,low,high,volume,close,Name
1/2/2014,22.57,22.28,22.65,5653500,22.48,JNPR
1/3/2014,22.55,22.395,22.82,4879800,22.77,JNPR
1/6/2014,22.77,22.61,22.9,8412800,22.62,JNPR
1/7/2014,22.69,22.41,22.79,10464500,22.66,JNPR
1/8/2014,22.7,22.65,22.98,12018700,22.92,JNPR
1/9/2014,22.94,22.52,22.95,12526500,22.83,JNPR
1/10/2014,22.92,22.54,23.93,20688700,23.54,JNPR
1/13/2014,25.07,24.8,25.96,36753200,25.32,JNPR
1/14/2014,25.64,25.072,25.69,12088900,25.42,JNPR
1/15/2014,25.37,25.37,25.96,6847800,25.88,JNPR
1/16/2014,25.8,25.71,25.96,3798600,25.79,JNPR
1/17/2014,25.85,25.66,26.03,6603600,26,JNPR
1/21/2014,26.11,25.87,26.52,5969800,26.03,JNPR
1/22/2014,26.16,25.78,26.25,5579900,26.18,JNPR
1/23/2014,25.93,25.6912,26.36,12223800,26.01,JNPR
1/24/2014,27.64,27.545,28.75,38419000,27.72,JNPR
1/27/2014,27.8,27.4701,28.04,13621000,27.92,JNPR
1/28/2014,27.37,27.11,27.59,10868800,27.51,JNPR
1/29/2014,27.32,27.3,28,9525300,27.73,JNPR
1/30/2014,28.03,27.48,28.03,6548100,27.87,JNPR
1/31/2014,27.37,26.56,27.59,16100200,26.61,JNPR
2/3/2014,26.39,26.23,26.98,11248200,26.35,JNPR
2/4/2014,26.48,26.37,26.96,8717100,26.76,JNPR
2/5/2014,26.7,26.18,26.93,7458200,26.78,JNPR
2/6/2014,26.92,26.88,27.52,6092600,27.01,JNPR
2/7/2014,26.98,26.7894,27.27,7409500,27.25,JNPR
2/10/2014,27.16,27.1401,27.765,7966100,27.73,JNPR
2/11/2014,27.67,27.38,27.8,5553200,27.66,JNPR
2/12/2014,27.51,26.97,27.85,8012200,27.1,JNPR
2/13/2014,26.85,26.82,27.48,8817900,27.47,JNPR
2/14/2014,27.51,27.32,27.67,5299300,27.42,JNPR
2/18/2014,27.33,27.15,27.785,5832000,27.46,JNPR
2/19/2014,27.39,27.08,27.5,6197400,27.2,JNPR
2/20/2014,27.48,27.18,28.389,18045100,27.41,JNPR
2/21/2014,28.01,27.6,28.14,17581700,27.95,JNPR
2/24/2014,27.54,26.615,28.0429,10857400,27.58,JNPR
2/25/2014,27.62,27.03,27.83,6697300,27.09,JNPR
2/26/2014,26.72,26.7,27.11,6603000,26.89,JNPR
2/27/2014,26.87,26.77,27.1,5623500,27.01,JNPR
2/28/2014,26.99,26.28,27.15,15813600,26.74,JNPR
3/3/2014,26.53,26.28,26.685,5277600,26.49,JNPR
3/4/2014,26.56,26.12,26.69,13212000,26.26,JNPR
3/5/2014,26.35,26.27,26.615,6307600,26.37,JNPR
3/6/2014,26.49,26.37,26.715,5732900,26.44,JNPR
3/7/2014,26.45,26.15,26.62,7407000,26.26,JNPR
3/10/2014,26.28,25.95,26.475,7506800,26.28,JNPR
3/11/2014,26.24,25.33,26.41,14671100,25.39,JNPR
3/12/2014,25.38,25.21,25.64,11688000,25.48,JNPR
3/13/2014,25.56,25.09,25.67,7386400,25.11,JNPR
3/14/2014,25.13,25.11,25.79,7558800,25.62,JNPR
3/17/2014,25.2,25.16,25.47,9719400,25.36,JNPR
3/18/2014,25.39,25.35,25.96,5548000,25.91,JNPR
3/19/2014,26.29,26.2,26.64,7602500,26.45,JNPR
3/20/2014,26.16,26.15,26.79,4851400,26.47,JNPR
3/21/2014,26.72,25.91,26.8,7848000,25.96,JNPR
3/24/2014,25.93,25.6,26.18,5614800,25.83,JNPR
3/25/2014,25.93,25.84,26.4,5513800,26.2,JNPR
3/26/2014,26.26,25.6651,26.37,5709500,25.7,JNPR
3/27/2014,25.65,25.32,25.94,4694000,25.33,JNPR
3/28/2014,25.37,25.33,25.93,4239900,25.62,JNPR
3/31/2014,25.66,25.6501,26,4030700,25.76,JNPR
4/1/2014,25.86,25.86,26.54,5957300,26.43,JNPR
4/2/2014,26.43,26.26,26.584,3812200,26.35,JNPR
4/3/2014,26.32,26.28,26.88,6303000,26.8,JNPR
4/4/2014,26.84,25.82,26.88,7460400,25.9,JNPR
4/7/2014,25.75,25.19,25.79,8463100,25.33,JNPR
4/8/2014,25.33,25.02,25.53,8225300,25.25,JNPR
4/9/2014,25.37,24.945,25.485,8534300,25.31,JNPR
4/10/2014,25.48,24.84,25.48,7647000,24.85,JNPR
4/11/2014,24.8,24.28,25.04,8927900,24.29,JNPR
4/14/2014,24.47,24.21,24.87,7932400,24.69,JNPR
4/15/2014,24.81,24.18,24.945,7184000,24.89,JNPR
4/16/2014,25,24.86,25.5,7926600,25.05,JNPR
4/17/2014,25.02,24.86,25.32,9636900,25.17,JNPR
4/21/2014,25.1,25.02,25.603,5225800,25.42,JNPR
4/22/2014,25.57,25.37,26.13,9651800,25.89,JNPR
4/23/2014,25.4,24.45,25.41,18234600,24.86,JNPR
4/24/2014,25.19,24.62,25.415,12027100,25.24,JNPR
4/25/2014,25.12,24.48,25.16,7907100,24.48,JNPR
4/28/2014,24.61,23.81,24.71,10258900,24.03,JNPR
4/29/2014,24.1,24.1,24.46,6498700,24.28,JNPR
4/30/2014,24.28,24.21,24.75,6353400,24.69,JNPR
5/1/2014,24.74,24.67,25.245,5829100,24.91,JNPR
5/2/2014,24.91,24.74,25.12,5106300,24.75,JNPR
5/5/2014,24.64,24.53,24.8961,3811500,24.8,JNPR
5/6/2014,24.73,24.55,24.92,4127100,24.6,JNPR
5/7/2014,24.59,24.27,24.7,4955500,24.67,JNPR
5/8/2014,24.66,24.535,25.15,4703900,24.64,JNPR
5/9/2014,24.63,24.25,24.6725,3959300,24.6,JNPR
5/12/2014,24.74,24.71,25.12,4097600,24.78,JNPR
5/13/2014,24.81,24.66,24.94,5661200,24.87,JNPR
5/14/2014,24.84,24.455,25.05,7970200,24.61,JNPR
5/15/2014,24.97,24.47,25.11,6654300,24.71,JNPR
5/16/2014,24.73,24.3,24.75,7851900,24.41,JNPR
5/19/2014,24.37,24.37,24.86,6889100,24.62,JNPR
5/20/2014,24.6,24.31,24.71,8053500,24.31,JNPR
5/21/2014,24.39,24.29,24.68,6744700,24.59,JNPR
5/22/2014,24.59,24.565,24.83,5476100,24.7,JNPR
5/23/2014,24.75,24.64,24.98,5661900,24.78,JNPR
5/27/2014,24.9,24.85,25.24,7563600,25.02,JNPR
5/28/2014,25.09,25.03,25.43,9126000,25.23,JNPR
5/29/2014,25.4,25.4,25.7,7077800,25.45,JNPR
5/30/2014,25.44,24.39,25.46,10403300,24.46,JNPR
6/2/2014,24.5,24.165,24.6,10145500,24.5,JNPR
6/3/2014,24.43,24.41,24.67,6295100,24.52,JNPR
6/4/2014,24.47,24.42,24.81,5640700,24.68,JNPR
6/5/2014,25,24.545,25,5405100,24.8,JNPR
6/6/2014,24.91,24.84,25.13,4334700,24.89,JNPR
6/9/2014,24.87,24.7,25.06,3591100,24.74,JNPR
6/10/2014,24.7,24.63,24.88,4437000,24.73,JNPR
6/11/2014,24.71,24.61,24.805,3809800,24.66,JNPR
6/12/2014,24.63,24.445,24.795,4470600,24.63,JNPR
6/13/2014,24.55,24.4,24.65,6232700,24.59,JNPR
6/16/2014,24.62,24.55,25.12,5653800,24.93,JNPR
6/17/2014,24.85,24.84,25.35,4682300,25.19,JNPR
6/18/2014,25.19,24.92,25.29,3604000,25.25,JNPR
6/19/2014,25.09,24.2,25.11,14218600,24.21,JNPR
6/20/2014,24.21,24.071,24.4,13231000,24.26,JNPR
6/23/2014,24.26,24.19,24.54,4501100,24.43,JNPR
6/24/2014,24.46,24.07,24.5499,7089000,24.13,JNPR
6/25/2014,24.08,23.97,24.3,6484700,24.14,JNPR
6/26/2014,24.2,24.03,24.34,4280600,24.24,JNPR
6/27/2014,24.22,24.14,24.58,6858000,24.47,JNPR
6/30/2014,24.5,24.47,24.74,3589200,24.54,JNPR
7/1/2014,24.64,24.44,24.73,4386800,24.5,JNPR
7/2/2014,24.55,24.55,24.94,4135400,24.78,JNPR
7/3/2014,24.95,24.65,24.96,2388700,24.65,JNPR
7/7/2014,24.75,24.58,24.82,3200100,24.71,JNPR
7/8/2014,24.6,24.02,24.61,6747400,24.08,JNPR
7/9/2014,24.07,24.06,24.41,6444500,24.38,JNPR
7/10/2014,24.14,24.01,24.5,3248800,24.39,JNPR
7/11/2014,24.42,24.19,24.49,3040800,24.27,JNPR
7/14/2014,24.32,24.06,24.36,3996300,24.13,JNPR
7/15/2014,24.2,24.06,24.39,3203300,24.17,JNPR
7/16/2014,24.24,23.78,24.345,6880000,23.83,JNPR
7/17/2014,24,23.9,24.1,7795600,24,JNPR
7/18/2014,24,23.9,24.1,4988300,24,JNPR
7/21/2014,24.27,24.01,24.67,9647700,24.45,JNPR
7/22/2014,24.59,24.59,25.19,10036100,24.82,JNPR
7/23/2014,22.64,21.97,22.77,40636400,22.43,JNPR
7/24/2014,22.44,22.4,23.33,13961500,23.21,JNPR
7/25/2014,23.17,23.02,23.43,6462700,23.25,JNPR
7/28/2014,23.41,23.14,23.74,7857600,23.72,JNPR
7/29/2014,23.72,23.69,24.06,7472500,23.71,JNPR
7/30/2014,23.84,23.66,24,5917700,23.72,JNPR
7/31/2014,23.56,23.48,23.82,6580600,23.54,JNPR
8/1/2014,23.41,23.16,23.55,6160500,23.27,JNPR
8/4/2014,23.22,23.04,23.46,5802200,23.2,JNPR
8/5/2014,23.14,23.06,23.38,4311600,23.31,JNPR
8/6/2014,23.25,23.18,23.46,4122500,23.35,JNPR
8/7/2014,23.45,22.99,23.5,4499700,23,JNPR
8/8/2014,23,22.92,23.29,4478200,23.24,JNPR
8/11/2014,23.29,23.18,23.45,4204500,23.32,JNPR
8/12/2014,23.33,23.22,23.49,3943000,23.34,JNPR
8/13/2014,23.43,23.38,23.75,5749600,23.58,JNPR
8/14/2014,23.45,22.95,23.65,9829500,23,JNPR
8/15/2014,23.1,22.91,23.18,7052700,22.99,JNPR
8/18/2014,23.18,23.06,23.33,4663600,23.25,JNPR
8/19/2014,23.26,23.215,23.69,6655100,23.69,JNPR
8/20/2014,23.58,23.5,23.975,5867300,23.79,JNPR
8/21/2014,23.8,23.65,24.1,5015600,23.99,JNPR
