date,open,low,high,volume,close,Name
1/2/2014,37.35,37.1,37.4,30632200,37.16,MSFT
1/3/2014,37.2,36.6,37.22,31134800,36.91,MSFT
1/6/2014,36.85,36.11,36.89,43603700,36.13,MSFT
1/7/2014,36.325,36.21,36.49,35802800,36.41,MSFT
1/8/2014,36,35.58,36.14,59971700,35.76,MSFT
1/9/2014,35.88,35.4,35.91,36516300,35.53,MSFT
1/10/2014,35.9,35.75,36.15,40548800,36.04,MSFT
1/13/2014,35.99,34.83,36.02,45901900,34.98,MSFT
1/14/2014,34.73,34.63,35.88,41623300,35.78,MSFT
1/15/2014,35.9,35.85,36.79,44812600,36.76,MSFT
1/16/2014,36.69,36.31,37,38018700,36.89,MSFT
1/17/2014,36.83,36.15,36.83,46267500,36.38,MSFT
1/21/2014,36.82,36.06,36.82,31567300,36.17,MSFT
1/22/2014,36.26,35.75,36.32,21904300,35.93,MSFT
1/23/2014,36.09,35.52,36.13,43954000,36.055,MSFT
1/24/2014,37.45,36.53,37.55,76395500,36.805,MSFT
1/27/2014,36.87,35.98,36.89,44420800,36.03,MSFT
1/28/2014,36.12,35.75,36.39,36205500,36.27,MSFT
1/29/2014,35.98,35.9,36.88,52745900,36.66,MSFT
1/30/2014,36.79,36.23,36.88,35036300,36.86,MSFT
1/31/2014,36.95,36.56,37.89,93162300,37.84,MSFT
2/3/2014,37.74,36.43,37.985,64063100,36.48,MSFT
2/4/2014,36.97,36.25,37.189,54697900,36.35,MSFT
2/5/2014,36.29,35.8,36.47,55814400,35.82,MSFT
2/6/2014,35.8,35.69,36.25,35351800,36.18,MSFT
2/7/2014,36.32,36.01,36.59,33260500,36.56,MSFT
2/10/2014,36.63,36.29,36.8,26767000,36.8,MSFT
2/11/2014,36.88,36.86,37.26,32141400,37.175,MSFT
2/12/2014,37.35,37.3,37.6,27051800,37.47,MSFT
2/13/2014,37.33,37.33,37.86,37635500,37.61,MSFT
2/14/2014,37.39,37.33,37.78,31407500,37.62,MSFT
2/18/2014,37.63,37.41,37.78,32834000,37.42,MSFT
2/19/2014,37.22,37.21,37.75,29750400,37.51,MSFT
2/20/2014,37.57,37.395,37.87,27526100,37.75,MSFT
2/21/2014,37.94,37.86,38.35,38021300,37.98,MSFT
2/24/2014,37.69,37.54,37.975,32085100,37.69,MSFT
2/25/2014,37.61,37.35,37.85,30736500,37.54,MSFT
2/26/2014,37.5801,37.19,37.74,41041800,37.47,MSFT
2/27/2014,37.45,37.23,37.89,33903400,37.86,MSFT
2/28/2014,37.98,37.82,38.46,41215000,38.31,MSFT
3/3/2014,37.92,37.495,38.13,29717500,37.78,MSFT
3/4/2014,38.2,38.07,38.48,26802400,38.41,MSFT
3/5/2014,38.25,37.93,38.2699,20520100,38.11,MSFT
3/6/2014,38.14,37.89,38.24,23582200,38.15,MSFT
3/7/2014,38.28,37.69,38.36,26591600,37.9,MSFT
3/10/2014,37.99,37.72,38.01,19006600,37.82,MSFT
3/11/2014,37.87,37.72,38.23,25216400,38.02,MSFT
3/12/2014,37.8,37.79,38.43,30494100,38.27,MSFT
3/13/2014,38.42,37.6414,38.45,32169700,37.89,MSFT
3/14/2014,37.651,37.5058,38.135,27195600,37.7,MSFT
3/17/2014,37.9,37.79,38.41,20479600,38.05,MSFT
3/18/2014,38.26,38.22,39.9,64063900,39.55,MSFT
3/19/2014,39.47,38.91,39.55,35597200,39.27,MSFT
3/20/2014,39.25,39.24,40.649,59269800,40.33,MSFT
3/21/2014,40.72,40.01,40.94,80721800,40.16,MSFT
3/24/2014,40.34,39.86,40.64,46098400,40.5,MSFT
3/25/2014,40.66,39.9599,40.99,43193100,40.34,MSFT
3/26/2014,40.48,39.6,40.705,41977500,39.79,MSFT
3/27/2014,39.74,39.34,39.97,35369200,39.36,MSFT
3/28/2014,39.79,39.68,40.635,43472700,40.3,MSFT
3/31/2014,40.43,40.4,41.5,46886300,40.99,MSFT
4/1/2014,41.15,41.07,41.59,32605000,41.42,MSFT
4/2/2014,41.44,41.17,41.66,28666700,41.35,MSFT
4/3/2014,41.29,40.71,41.29,30139600,41.01,MSFT
4/4/2014,41.25,39.64,41.39,51409600,39.87,MSFT
4/7/2014,39.96,39.74,40.27,37559600,39.8,MSFT
4/8/2014,39.75,39.2,39.93,35918600,39.82,MSFT
4/9/2014,39.93,39.88,40.55,27398700,40.47,MSFT
4/10/2014,40.44,39.09,40.69,45960800,39.36,MSFT
4/11/2014,39,39,39.79,34330200,39.209,MSFT
4/14/2014,39.11,38.9,39.41,32006600,39.18,MSFT
4/15/2014,39.34,39.05,39.96,33968700,39.75,MSFT
4/16/2014,40.06,39.905,40.415,30615800,40.4,MSFT
4/17/2014,40.01,39.51,40.195,36689400,40.01,MSFT
4/21/2014,40.13,39.79,40.15,22221200,39.94,MSFT
4/22/2014,39.96,39.83,40.14,27056700,39.99,MSFT
4/23/2014,39.99,39.47,39.99,24602800,39.69,MSFT
4/24/2014,39.74,39.3,39.97,42381600,39.86,MSFT
4/25/2014,40.29,39.75,40.68,56876800,39.91,MSFT
4/28/2014,40.14,40.09,41.29,50610200,40.87,MSFT
4/29/2014,41.1,40.39,41.19,29636200,40.51,MSFT
4/30/2014,40.4,40.1699,40.5,35458700,40.4,MSFT
5/1/2014,40.2401,39.95,40.36,28787400,40,MSFT
5/2/2014,40.31,39.66,40.34,43416600,39.69,MSFT
5/5/2014,39.52,39.3,39.6399,22460900,39.43,MSFT
5/6/2014,39.29,38.95,39.35,27112400,39.06,MSFT
5/7/2014,39.22,38.51,39.51,41744500,39.425,MSFT
5/8/2014,39.34,38.97,39.9,32120400,39.64,MSFT
5/9/2014,39.54,39.37,39.85,29647600,39.54,MSFT
5/12/2014,39.74,39.65,40.02,22782600,39.97,MSFT
5/13/2014,39.92,39.85,40.5,27004800,40.42,MSFT
5/14/2014,40.3,40.05,40.45,18818700,40.24,MSFT
5/15/2014,40.09,39.51,40.4,37793200,39.6,MSFT
5/16/2014,39.67,39.27,39.84,29867100,39.83,MSFT
5/19/2014,39.61,39.46,39.82,24537400,39.75,MSFT
5/20/2014,39.68,39.46,39.94,21320900,39.68,MSFT
5/21/2014,39.8,39.7399,40.35,22398700,40.35,MSFT
5/22/2014,40.29,39.85,40.35,20201800,40.1,MSFT
5/23/2014,40.37,40,40.37,18020000,40.12,MSFT
5/27/2014,40.26,39.81,40.26,26160600,40.19,MSFT
5/28/2014,40.14,39.82,40.19,25711500,40.01,MSFT
5/29/2014,40.15,39.91,40.35,19888200,40.34,MSFT
5/30/2014,40.45,40.25,40.97,34567600,40.94,MSFT
6/2/2014,40.95,40.68,41.09,18504300,40.79,MSFT
6/3/2014,40.6,40.25,40.68,18068900,40.29,MSFT
6/4/2014,40.21,39.86,40.37,23209000,40.32,MSFT
6/5/2014,40.59,40.4,41.25,31865200,41.21,MSFT
6/6/2014,41.48,41.24,41.66,24060500,41.48,MSFT
6/9/2014,41.39,41.02,41.48,15019200,41.27,MSFT
6/10/2014,41.03,40.86,41.16,15117700,41.11,MSFT
6/11/2014,40.93,40.765,41.07,18040000,40.86,MSFT
6/12/2014,40.81,40.29,40.88,29818900,40.58,MSFT
6/13/2014,41.1,40.86,41.565,26310000,41.23,MSFT
6/16/2014,41.04,41.04,41.61,24205300,41.5,MSFT
6/17/2014,41.29,40.335,41.91,22518600,41.68,MSFT
6/18/2014,41.605,41.18,41.74,27097000,41.65,MSFT
6/19/2014,41.57,41.3301,41.77,19828200,41.51,MSFT
6/20/2014,41.445,41.38,41.83,47764900,41.68,MSFT
6/23/2014,41.73,41.69,42,18743900,41.99,MSFT
6/24/2014,41.83,41.56,41.94,26509100,41.745,MSFT
6/25/2014,41.7,41.46,42.05,20049100,42.03,MSFT
6/26/2014,41.93,41.43,41.94,23604400,41.72,MSFT
6/27/2014,41.61,41.51,42.29,74640000,42.25,MSFT
6/30/2014,42.17,41.7,42.21,30805500,41.7,MSFT
7/1/2014,41.86,41.69,42.15,26917000,41.87,MSFT
7/2/2014,41.73,41.53,41.9,20208100,41.9,MSFT
7/3/2014,41.91,41.56,41.99,15969300,41.8,MSFT
7/7/2014,41.75,41.71,42.12,21952400,41.99,MSFT
7/8/2014,41.87,41.61,42,31218200,41.78,MSFT
7/9/2014,41.98,41.53,41.99,18445900,41.67,MSFT
7/10/2014,41.37,41.05,42,21854700,41.685,MSFT
7/11/2014,41.7,41.48,42.09,24083000,42.09,MSFT
7/14/2014,42.22,42.04,42.45,21881100,42.14,MSFT
7/15/2014,42.33,42.03,42.47,28748700,42.45,MSFT
7/16/2014,42.51,42.48,44.31,63318000,44.08,MSFT
7/17/2014,45.45,44.25,45.71,82180300,44.53,MSFT
7/18/2014,44.65,44.25,44.84,43407500,44.69,MSFT
7/21/2014,44.56,44.22,45.16,37604400,44.835,MSFT
7/22/2014,45,44.59,45.15,43095800,44.83,MSFT
7/23/2014,45.45,44.62,45.45,52362900,44.87,MSFT
7/24/2014,44.93,44.32,45,30725300,44.4,MSFT
7/25/2014,44.3,44.3,44.66,26737700,44.5,MSFT
7/28/2014,44.36,43.93,44.51,29684200,43.97,MSFT
7/29/2014,43.91,43.64,44.09,27763100,43.885,MSFT
7/30/2014,44.07,43.29,44.1,31921400,43.5785,MSFT
7/31/2014,43.38,43.08,43.69,31537500,43.16,MSFT
8/1/2014,43.21,42.6,43.25,31170300,42.86,MSFT
8/4/2014,42.97,42.81,43.47,34277400,43.37,MSFT
8/5/2014,43.31,42.83,43.46,26266400,43.08,MSFT
8/6/2014,42.74,42.21,43.17,24634000,42.74,MSFT
8/7/2014,42.84,42.65,43.45,30314900,43.23,MSFT
8/8/2014,43.23,42.91,43.315,28942700,43.2,MSFT
8/11/2014,43.26,43.02,43.45,20351600,43.2,MSFT
