date,open,low,high,volume,close,Name
1/2/2014,30.47,30.33,30.6,17425300,30.46,PFE
1/3/2014,30.39,30.38,30.83,15035400,30.52,PFE
1/6/2014,30.77,30.53,30.95,23961500,30.55,PFE
1/7/2014,30.86,30.74,31.02,22223000,30.74,PFE
1/8/2014,30.78,30.65,30.985,22923200,30.95,PFE
1/9/2014,31.08,30.605,31.12,20581500,30.93,PFE
1/10/2014,30.84,30.5,30.95,21718100,30.69,PFE
1/13/2014,30.86,30.44,31.03,23981400,30.54,PFE
1/14/2014,30.58,30.55,31.05,32976600,31,PFE
1/15/2014,31.05,30.85,31.31,28816800,31.18,PFE
1/16/2014,31.18,31.09,31.42,18573100,31.17,PFE
1/17/2014,31.25,30.95,31.29,21623200,31.09,PFE
1/21/2014,31.32,30.95,31.41,24056600,31.23,PFE
1/22/2014,31.31,31.09,31.34,22347500,31.27,PFE
1/23/2014,31.02,30.91,31.23,25016500,31.01,PFE
1/24/2014,30.86,30.06,30.96,36109600,30.09,PFE
1/27/2014,30.04,29.66,30.249,33093200,29.66,PFE
1/28/2014,30.44,30.13,30.75,34077000,30.42,PFE
1/29/2014,30.24,30,30.46,29218800,30.11,PFE
1/30/2014,30.4,30.21,30.85,32099500,30.82,PFE
1/31/2014,30.56,30.21,30.66,41411800,30.4,PFE
2/3/2014,31.03,30.57,31.69,61310600,30.6,PFE
2/4/2014,31.64,30.6,32,47228700,31.44,PFE
2/5/2014,30.99,30.58,31.18,37159800,30.65,PFE
2/6/2014,30.705,30.6,30.91,23567000,30.84,PFE
2/7/2014,30.84,30.61,31.28,27809100,31.22,PFE
2/10/2014,31.26,31.13,31.47,22591400,31.47,PFE
2/11/2014,31.79,31.43,31.98,24740400,31.88,PFE
2/12/2014,31.87,31.55,32,21258500,31.61,PFE
2/13/2014,31.5,31.4,31.8479,18867700,31.7,PFE
2/14/2014,31.88,31.7,32,18895600,31.94,PFE
2/18/2014,31.81,31.7901,32.09,19687600,31.88,PFE
2/19/2014,31.92,31.44,31.96,27746900,31.48,PFE
2/20/2014,31.34,31.26,31.71,22456000,31.55,PFE
2/21/2014,31.68,31.44,31.77,18471400,31.46,PFE
2/24/2014,31.99,31.53,32.08,38775000,31.99,PFE
2/25/2014,31.55,31.54,31.99,27196600,31.89,PFE
2/26/2014,31.74,31.72,32,25023400,31.99,PFE
2/27/2014,31.87,31.83,32.24,22753300,32.23,PFE
2/28/2014,32.12,31.85,32.41,27517600,32.11,PFE
3/3/2014,31.52,31.52,32.14,23791900,31.98,PFE
3/4/2014,32.34,32.34,32.74,26325100,32.69,PFE
3/5/2014,32.65,32.6,32.95,22451400,32.75,PFE
3/6/2014,32.8,32.41,32.96,20520900,32.46,PFE
3/7/2014,32.51,32.18,32.66,17610800,32.43,PFE
3/10/2014,32.42,32.29,32.545,15957400,32.39,PFE
3/11/2014,32.35,32.24,32.62,24165700,32.42,PFE
3/12/2014,32.15,31.93,32.57,32517500,31.98,PFE
3/13/2014,31.99,30.91,32.02,45895700,31.12,PFE
3/14/2014,31.15,30.83,31.435,27112600,31.23,PFE
3/17/2014,31.41,31.26,31.53,21264200,31.42,PFE
3/18/2014,31.47,31.42,32.055,23080400,31.93,PFE
3/19/2014,31.93,31.39,32.08,23083000,31.71,PFE
3/20/2014,32.12,31.71,32.12,22695800,31.91,PFE
3/21/2014,32.33,31.4601,32.49,62118800,32.18,PFE
3/24/2014,31.77,31.33,31.9,41805200,31.49,PFE
3/25/2014,31.77,31.59,31.99,21137000,31.82,PFE
3/26/2014,32.01,31.67,32.41,31579500,32.18,PFE
3/27/2014,32.28,31.9,32.38,27744000,32.1,PFE
3/28/2014,32.2,31.7401,32.48,21969900,31.88,PFE
3/31/2014,31.96,31.83,32.18,18473200,32.12,PFE
4/1/2014,31.93,31.75,32.25,21836600,31.95,PFE
4/2/2014,31.92,31.81,32.39,21615400,32.29,PFE
4/3/2014,32.43,32.18,32.49,20036000,32.4,PFE
