date,open,low,high,volume,close,Name
1/2/2014,63.53,63.14,64.17,7400100,63.18,TGT
1/3/2014,63.62,63.4,63.89,4589400,63.49,TGT
1/6/2014,63.68,62.67,63.69,4609600,63.06,TGT
1/7/2014,63.03,62.6,63.29,5398300,62.91,TGT
1/8/2014,62.81,62.43,62.82,5529900,62.69,TGT
1/9/2014,62.89,62.77,63.59,7264600,63.34,TGT
1/10/2014,62.89,62.16,63.63,12949700,62.62,TGT
1/13/2014,62.12,61.49,62.23,8031200,61.5,TGT
1/14/2014,61.51,61.27,61.76,5519900,61.71,TGT
1/15/2014,61.86,61.5,61.87,4233700,61.56,TGT
1/16/2014,61.44,60.6,61.55,5288400,60.81,TGT
1/17/2014,60.93,59.87,60.93,8132100,60.24,TGT
1/21/2014,59.8,58.8,59.81,10595500,59.2,TGT
1/22/2014,59.78,58.75,59.82,7185100,58.98,TGT
1/23/2014,58.5,58.26,58.72,7029900,58.65,TGT
1/24/2014,58.56,57.69,58.6,7467500,57.72,TGT
1/27/2014,57.73,57.38,57.96,6013100,57.71,TGT
1/28/2014,57.85,57.76,58.29,4907300,57.89,TGT
1/29/2014,57.67,56.83,57.86,5928000,56.89,TGT
1/30/2014,57.11,56.65,57.2,6207900,56.67,TGT
1/31/2014,56.41,55.96,56.98,6326300,56.64,TGT
2/3/2014,56.86,55.28,56.87,6733600,55.41,TGT
2/4/2014,55.87,55.1,55.87,5969600,55.12,TGT
2/5/2014,55.06,54.66,55.19,8176000,55.07,TGT
2/6/2014,55.13,55.09,56,8886800,55.86,TGT
2/7/2014,56.11,55.54,56.41,6344700,56.33,TGT
2/10/2014,56.34,56.17,56.69,6017900,56.51,TGT
2/11/2014,56.66,56.55,57.38,8170900,57.14,TGT
2/12/2014,57.17,56.62,57.17,7010800,56.95,TGT
2/13/2014,56.97,56.45,57.36,7564500,56.86,TGT
2/14/2014,56.66,55.76,56.69,8586200,56.06,TGT
2/18/2014,56.42,56.17,56.64,6094900,56.39,TGT
2/19/2014,56.36,56.32,57.82,8838300,57.31,TGT
2/20/2014,57.4,56.41,57.4,8790200,56.62,TGT
2/21/2014,56.72,56.15,56.8,6596600,56.24,TGT
2/24/2014,56.19,55.44,56.64,9151600,56.14,TGT
2/25/2014,55.96,55.81,56.61,8030600,56.51,TGT
2/26/2014,58.58,58.1,61.18,24180800,60.49,TGT
2/27/2014,60.42,59.75,60.78,9453700,60.66,TGT
2/28/2014,60.61,60.4,62.88,14246300,62.54,TGT
3/3/2014,61.94,61.7,62.41,6813300,61.96,TGT
3/4/2014,62.51,61.25,62.55,6400100,61.33,TGT
3/5/2014,61.65,60.36,61.66,7421100,60.6,TGT
3/6/2014,60.61,60.52,61.09,4835100,60.74,TGT
3/7/2014,60.84,60.57,60.98,3817500,60.75,TGT
3/10/2014,60.82,60.7,61.24,3663700,61.16,TGT
3/11/2014,61.25,60.87,61.52,4485100,60.94,TGT
3/12/2014,60.54,60.52,61.22,3851500,61.1,TGT
3/13/2014,61.08,59.71,61.62,6142600,59.73,TGT
3/14/2014,59.6,59.27,59.99,5631200,59.36,TGT
3/17/2014,59.59,59.3,59.96,3424500,59.67,TGT
3/18/2014,59.8,59.56,59.94,3129000,59.72,TGT
3/19/2014,59.76,59.06,60.21,4280700,59.48,TGT
3/20/2014,59.53,59.26,59.9,3332100,59.7,TGT
3/21/2014,60.12,59.36,60.18,5995400,59.45,TGT
3/24/2014,59.88,59.16,60.04,4543700,59.46,TGT
3/25/2014,59.59,58.6,59.6,5216800,59.06,TGT
3/26/2014,59.22,59.06,59.99,4438900,59.2,TGT
3/27/2014,59.57,59.02,60.14,4416400,59.74,TGT
3/28/2014,59.74,59.7,60.12,3063900,59.98,TGT
3/31/2014,60.24,59.95,60.78,4255900,60.51,TGT
4/1/2014,60.74,60.3,60.81,4246000,60.57,TGT
4/2/2014,60.5,60.45,61.14,3970400,60.89,TGT
4/3/2014,61.3,60.68,61.88,4565300,61.72,TGT
4/4/2014,61.93,61.1,62.26,3823500,61.14,TGT
4/7/2014,61.06,60.5,61.06,4199100,60.5,TGT
4/8/2014,60.33,60.1,61.6,4527800,61.5,TGT
4/9/2014,61.77,61,61.77,4689100,61.21,TGT
4/10/2014,61.83,59.67,61.83,5904100,59.67,TGT
4/11/2014,59.6,58.58,59.71,5330700,58.9,TGT
4/14/2014,59.25,58.94,59.49,4065900,59.42,TGT
4/15/2014,59.65,59.14,59.78,3717000,59.48,TGT
4/16/2014,59.87,59.52,60,3539600,59.91,TGT
4/17/2014,59.71,59.65,60.04,3634700,60,TGT
4/21/2014,59.87,59.52,59.95,3704100,59.76,TGT
4/22/2014,59.82,59.77,60.67,4834600,60.32,TGT
4/23/2014,60.32,60.32,60.82,2969900,60.74,TGT
4/24/2014,60.85,60.75,61.46,3671000,61.45,TGT
4/25/2014,60.99,60.45,61.31,5164600,61.26,TGT
4/28/2014,60.98,60.98,62.48,4895200,62.18,TGT
4/29/2014,62.3,61.82,62.34,4176400,61.97,TGT
4/30/2014,61.83,61.4,61.91,4526900,61.75,TGT
5/1/2014,61.85,61.33,61.87,3611600,61.74,TGT
5/2/2014,61.86,61.73,62.64,3423800,62.01,TGT
5/5/2014,61.02,59.62,61.6,16189500,59.87,TGT
5/6/2014,59.23,57.6,59.29,13323400,57.64,TGT
5/7/2014,57.86,57.66,58.25,6424400,58.13,TGT
5/8/2014,58.29,57.98,58.76,6808800,58.32,TGT
5/9/2014,58.29,58.29,59.25,6254800,59.13,TGT
5/12/2014,59.29,59.27,59.71,3719600,59.64,TGT
5/13/2014,59.62,59.16,59.86,4900300,59.56,TGT
5/14/2014,59.56,59.08,59.8,4275200,59.27,TGT
5/15/2014,58.59,57.8,58.67,8249000,58.18,TGT
5/16/2014,58.29,58.12,58.83,6409200,58.64,TGT
5/19/2014,58.17,58.04,58.49,3674200,58.29,TGT
5/20/2014,57.92,56.53,57.94,9392600,56.61,TGT
5/21/2014,56.99,56.13,57.45,14802300,57.2,TGT
5/22/2014,57.07,55.62,57.1,12411400,55.99,TGT
5/23/2014,56.15,55.66,56.22,7575800,55.69,TGT
5/27/2014,55.89,55.41,55.95,5639700,55.77,TGT
5/28/2014,56,55.25,56,5822700,55.34,TGT
5/29/2014,55.4,55.3,55.96,4829700,55.88,TGT
5/30/2014,55.92,55.89,56.92,6305300,56.76,TGT
6/2/2014,56.9,56.45,57.04,3747500,56.49,TGT
6/3/2014,56.53,56.29,56.96,4517600,56.79,TGT
6/4/2014,56.63,56.5,57.2,3633000,57.18,TGT
6/5/2014,57.26,57.09,57.79,4506100,57.49,TGT
6/6/2014,57.5,57.49,57.8,3571500,57.68,TGT
6/9/2014,57.78,57.47,58.22,4424800,57.6,TGT
6/10/2014,57.58,56.67,57.58,6609800,56.86,TGT
6/11/2014,56.71,56.61,57.32,5344900,57.08,TGT
6/12/2014,57.14,57.11,57.36,5457900,57.24,TGT
6/13/2014,57.35,57.05,57.47,3718800,57.23,TGT
6/16/2014,57.23,57.06,57.79,5342600,57.74,TGT
6/17/2014,57.6,57.51,58.62,6618700,58.17,TGT
6/18/2014,58.3,58.12,58.74,3748900,58.7,TGT
6/19/2014,58.72,58.7,59.32,3900500,58.74,TGT
6/20/2014,58.71,58.1,58.81,5189000,58.29,TGT
6/23/2014,58.12,58.06,58.45,3749100,58.42,TGT
6/24/2014,58.18,58.02,58.86,4374500,58.7,TGT
6/25/2014,58.51,57.92,58.51,5998500,58.06,TGT
6/26/2014,58.07,57.63,58.1,3548000,57.87,TGT
6/27/2014,57.77,57.75,58.32,8466000,58.12,TGT
6/30/2014,58.09,57.84,58.5,4864300,57.95,TGT
7/1/2014,58.39,57.95,58.45,3768500,58.37,TGT
7/2/2014,58.5,58.4,59.1,3061400,58.77,TGT
7/3/2014,59.12,58.94,59.53,3014400,59.51,TGT
7/7/2014,59.36,59.23,60.05,4917300,59.99,TGT
7/8/2014,59.75,59.38,59.94,4582200,59.8,TGT
7/9/2014,59.57,59.57,60.19,4276700,60.05,TGT
7/10/2014,59.46,59.46,59.98,3799900,59.93,TGT
7/11/2014,59.96,59.65,60.05,3109100,60,TGT
7/14/2014,60.14,59.95,60.19,3809200,60.18,TGT
7/15/2014,60.55,60.23,60.72,5722100,60.71,TGT
7/16/2014,60.74,59.82,60.74,6987700,60.14,TGT
7/17/2014,59.99,59.57,60.2,4559400,59.72,TGT
7/18/2014,59.82,59.5,60.04,4735900,60.01,TGT
7/21/2014,59.98,59.04,60.02,4122900,59.3,TGT
7/22/2014,59.42,59.14,59.52,3548400,59.38,TGT
7/23/2014,59.45,59.37,60.84,6167200,60.73,TGT
7/24/2014,60.74,60.42,61.07,3491900,60.99,TGT
7/25/2014,60.76,60.29,60.89,2629200,60.39,TGT
7/28/2014,60.4,59.99,60.58,4011200,60.3,TGT
7/29/2014,60.35,60.3,61.32,3807200,61.1,TGT
7/30/2014,61.31,61.14,61.63,3677000,61.38,TGT
7/31/2014,61,59.58,61,7067900,59.59,TGT
8/1/2014,59.32,59.2,60,4011800,59.85,TGT
8/4/2014,60.17,59.92,61,4232000,60.7,TGT
8/5/2014,58.45,57.81,59.41,14982100,58.03,TGT
8/6/2014,57.48,57.26,58.24,7262700,57.97,TGT
8/7/2014,58.26,57.27,58.36,4917200,57.5,TGT
8/8/2014,57.89,57.62,58.59,4710700,58.54,TGT
8/11/2014,58.6,58.15,58.67,2788100,58.36,TGT
8/12/2014,58.35,58.02,58.54,2946000,58.46,TGT
8/13/2014,58.43,57.75,58.48,3661300,58.26,TGT
8/14/2014,58.2,58.09,58.77,3144900,58.74,TGT
8/15/2014,58.74,57.84,58.77,4186700,58.2,TGT
8/18/2014,58.05,57.75,58.69,4016700,58.55,TGT
8/19/2014,58.84,58.6,59.41,4807300,59.25,TGT
8/20/2014,58.5,58.25,60.79,12823400,60.33,TGT
8/21/2014,60.4,59.82,61.09,6544300,61.07,TGT
8/22/2014,61.14,60.78,61.46,4566200,61.05,TGT
8/25/2014,61.3,60.72,61.5,4368200,60.98,TGT
8/26/2014,61.05,60.59,61.2,3224800,60.7,TGT
8/27/2014,60.73,60.64,60.96,2797700,60.79,TGT
8/28/2014,60.48,60.07,60.59,4206600,60.35,TGT
8/29/2014,60.72,60.05,60.72,4008100,60.07,TGT
9/2/2014,60.28,59.98,60.5,2602700,60.19,TGT
9/3/2014,60.53,59.98,60.57,3553500,60.39,TGT
9/4/2014,60.38,60.2,61.21,4363300,61.03,TGT
9/5/2014,61,60.5,61.15,3401800,61.08,TGT
9/8/2014,60.9,60.27,61.2,3191300,60.56,TGT
9/9/2014,60.47,60.18,60.91,4237200,60.88,TGT
9/10/2014,61.01,60.87,62.34,8664500,61.95,TGT
9/11/2014,61.83,61.61,62.68,5599800,62.59,TGT
9/12/2014,62.54,61.98,62.65,4427400,62.53,TGT
9/15/2014,62.43,62.07,62.61,3694100,62.21,TGT
9/16/2014,62.07,62.06,63.26,4552400,62.86,TGT
9/17/2014,62.87,62.48,63.09,3275900,62.87,TGT
9/18/2014,63.23,63.2,64.65,7330500,63.93,TGT
9/19/2014,64.23,63.61,64.36,4918900,63.81,TGT
9/22/2014,63.54,63.13,63.77,3040421,63.36,TGT
9/23/2014,63.32,63.07,63.6,3993414,63.08,TGT
9/24/2014,63,62.99,63.93,3248560,63.88,TGT
9/25/2014,63.63,62.75,63.7599,2819167,62.88,TGT
9/26/2014,63.2,62.64,63.28,2336217,63.15,TGT
9/29/2014,62.57,62.53,63.16,2170367,63.04,TGT
9/30/2014,62.86,62.52,63.09,2558618,62.68,TGT
10/1/2014,62.68,62.03,62.9,3883761,62.07,TGT
10/2/2014,62.14,61.61,62.7,3199770,62.57,TGT
10/3/2014,63.09,62.77,63.45,2614997,63.07,TGT
10/6/2014,63.03,62.19,63.34,2481320,62.28,TGT
10/7/2014,62.02,61.33,62.08,3661893,61.54,TGT
10/8/2014,61.68,61.52,62.96,3960045,62.81,TGT
10/9/2014,62.75,61.415,63.09,4348956,61.6,TGT
10/10/2014,61.68,60.55,62.44,6201854,60.59,TGT
10/13/2014,60.55,60.03,61.57,5331708,60.44,TGT
10/14/2014,60.96,60.74,61.815,4542655,61.69,TGT
10/15/2014,60.86,59.29,61.2399,7774041,59.98,TGT
10/16/2014,58.83,58.72,60.17,4332597,59.44,TGT
10/17/2014,59.93,58.9,60.06,6508908,59.07,TGT
10/20/2014,58.96,58.96,60.31,4302185,60.29,TGT
10/21/2014,60.69,60.41,61.94,4797865,61.64,TGT
10/22/2014,61.77,61.27,62.43,3796040,61.33,TGT
10/23/2014,61.79,61.69,62.5,3418433,62.03,TGT
10/24/2014,61.95,61.2,62.02,3984488,61.57,TGT
10/27/2014,61.55,61.03,61.75,3635957,61.56,TGT
10/28/2014,61.25,60.29,61.32,4985437,60.65,TGT
10/29/2014,60.72,60.37,60.96,2999098,60.89,TGT
10/30/2014,60.81,60.55,61.96,2303520,61.78,TGT
10/31/2014,62.25,61.44,62.37,4231396,61.82,TGT
11/3/2014,61.82,61.14,61.98,2733957,61.59,TGT
11/4/2014,61.56,60.98,61.63,3038314,61.37,TGT
11/5/2014,61.85,60.99,62,2687254,61.12,TGT
11/6/2014,61.33,61.13,61.995,3956071,61.89,TGT
11/7/2014,62.28,62.17,64.66,7531325,64.17,TGT
11/10/2014,64.84,64.14,65.92,7876508,65.52,TGT
11/11/2014,65.44,65.26,65.86,3419038,65.72,TGT
11/12/2014,65.49,65.37,66.895,6181073,66.72,TGT
11/13/2014,66.96,66.94,67.78,7880170,67.5,TGT
11/14/2014,67.33,67.15,68.28,5487190,68.13,TGT
11/17/2014,67.58,66.9,67.7,7260198,67.13,TGT
11/18/2014,66.96,66.5,67.76,5581483,67.51,TGT
11/19/2014,69.95,69.86,73.08,25614518,72.5,TGT
11/20/2014,71.34,70.3,71.83,11064661,71.19,TGT
11/21/2014,71.8,71.05,72.26,6835245,71.51,TGT
11/24/2014,71.36,71,72.16,4095086,71.57,TGT
11/25/2014,71.68,71.36,72.2,6635015,72.1,TGT
11/26/2014,71.96,71.73,72.3,4123899,72.16,TGT
11/28/2014,72.56,72.56,74.76,4466468,74,TGT
12/1/2014,73.34,72.06,73.47,7798350,72.75,TGT
12/2/2014,72.53,72.38,73.4,4142617,73.07,TGT
12/3/2014,73,72.5908,73.83,6699986,73.33,TGT
12/4/2014,73.33,72.53,73.4,4238847,73.28,TGT
12/5/2014,73.52,72.88,73.71,3760005,73.66,TGT
12/8/2014,73.5,73.24,74.1,3851519,73.78,TGT
12/9/2014,72.65,72.4,73.63,3367952,73.6,TGT
12/10/2014,73.3,72.84,74.19,4560465,72.91,TGT
12/11/2014,73.66,73.32,74.58,5648061,73.53,TGT
12/12/2014,73.54,72.39,74,4596707,72.4,TGT
12/15/2014,73.07,72.4,73.52,3637972,73.2,TGT
12/16/2014,73.2,71.98,73.31,7870298,72.28,TGT
12/17/2014,72.88,72.28,73.73,2979836,73.57,TGT
12/18/2014,74.3,73.72,74.99,7823677,74.64,TGT
12/19/2014,74.4,73.69,74.62,6277249,73.95,TGT
12/22/2014,73.97,73.87,74.59,3737057,74.5,TGT
12/23/2014,74.83,74.36,75.07,3514612,74.69,TGT
12/24/2014,74.79,74.61,75.32,1788021,74.65,TGT
12/26/2014,74.72,74.61,75.37,2222451,75.06,TGT
12/29/2014,75.06,74.87,75.99,2744853,75.53,TGT
12/30/2014,75.44,75.2,75.88,2160758,75.71,TGT
12/31/2014,75.45,75.27,76.645,3212337,75.91,TGT
1/2/2015,76.11,74.55,76.64,3713233,75.33,TGT
1/5/2015,75.17,73.88,75.51,3779650,73.98,TGT
1/6/2015,74.3,72.74,74.69,4666869,73.97,TGT
1/7/2015,74.88,74.88,76.95,6946550,76.77,TGT
1/8/2015,76.81,76.69,77.752,6344544,77.13,TGT
1/9/2015,77.26,76.33,77.37,3204123,76.43,TGT
1/12/2015,76.08,76.04,76.94,2842896,76.63,TGT
1/13/2015,76.89,75.472,77.66,4919604,75.95,TGT
1/14/2015,74.61,73.69,75.04,5634930,74.33,TGT
1/15/2015,77.3,75.08,77.5,17295480,75.67,TGT
1/16/2015,75.33,73.35,75.46,9973005,74.94,TGT
1/20/2015,74.94,72.89,75.14,9168804,73.67,TGT
1/21/2015,73.51,73.08,74.32,5034370,73.95,TGT
1/22/2015,74.47,73.63,75.94,4662512,75.77,TGT
1/23/2015,75.89,74.65,75.93,3959242,75.29,TGT
1/26/2015,75.33,74.78,75.48,3584792,75.25,TGT
1/27/2015,75,74.39,75.34,3228161,74.76,TGT
1/28/2015,75.34,74.13,76.04,4175067,74.26,TGT
1/29/2015,74.26,73.83,75.49,4545657,75.49,TGT
1/30/2015,74.77,73.55,75.13,7176967,73.61,TGT
2/2/2015,73.19,71.9,74.39,4926990,74.25,TGT
2/3/2015,74.72,74.13,75.89,4920099,75.87,TGT
2/4/2015,75.61,75.462,76.66,5669226,75.61,TGT
2/5/2015,75.94,75.82,76.39,3111545,75.95,TGT
2/6/2015,76,75.56,76.7,4101445,76.36,TGT
2/9/2015,76.05,75.11,76.58,3112687,75.39,TGT
2/10/2015,75.6,75.57,76.7,2810541,76.65,TGT
2/11/2015,76.42,75.89,76.6995,2761230,76.42,TGT
