Date,Open,High,Low,Close,Adj Close,Volume,Date,Positve,Negative,Neutral,Total
2/15/2012,135.630005,135.830002,134.289993,134.559998,115.253769,195195100,2/15/2012,0,0,100,1
3/1/2012,137.309998,137.990005,136.929993,137.729996,117.968933,145023500,3/1/2012,0,0,100,1
3/7/2012,135.059998,135.910004,134.929993,135.690002,116.221611,143692200,3/7/2012,0,0,100,6
3/14/2012,140.100006,140.449997,139.479996,139.910004,119.836174,145163600,3/14/2012,0,0,100,3
3/15/2012,140.119995,140.779999,139.759995,140.720001,120.52993,165118500,3/15/2012,0,0,100,1
3/23/2012,139.320007,139.809998,138.550003,139.649994,120.137642,120521000,3/23/2012,0,0,100,2
3/28/2012,141.100006,141.320007,139.639999,140.470001,120.843079,148562100,3/28/2012,0,0,100,1
3/30/2012,140.919998,141.050003,140.050003,140.809998,121.135582,135486800,3/30/2012,50,50,0,2
4/5/2012,139.380005,140.199997,139.259995,139.789993,120.258064,137439400,4/5/2012,0,0,100,1
4/17/2012,137.839996,139.360001,137.699997,139.080002,119.647316,147877600,4/17/2012,0,0,100,2
6/8/2012,131.710007,133.130005,131.289993,133.100006,114.502838,143915400,6/8/2012,0,0,100,1
6/11/2012,134.169998,134.25,131.279999,131.410004,113.04895,169756100,6/11/2012,0,0,100,1
6/26/2012,131.699997,132.380005,130.929993,131.979996,114.127625,141634000,6/26/2012,0,0,100,1
7/17/2012,135.970001,136.639999,134.550003,136.360001,117.915169,138860300,7/17/2012,0,100,0,1
8/6/2012,139.720001,140.169998,139.559998,139.619995,120.734215,86326200,8/6/2012,0,0,100,2
8/10/2012,140.039993,140.889999,139.809998,140.839996,121.7892,99792700,8/10/2012,0,0,100,1
8/14/2012,141.289993,141.380005,140.369995,140.789993,121.745926,102379400,8/14/2012,0,0,100,1
9/5/2012,141.089996,141.470001,140.630005,140.910004,121.849709,100660300,9/5/2012,100,0,0,1
10/1/2012,144.520004,145.690002,144.009995,144.350006,125.490738,135911200,10/1/2012,100,0,0,1
10/2/2012,144.919998,145.149994,143.830002,144.5,125.621124,113422200,10/2/2012,0,0,100,1
10/12/2012,143.460007,143.949997,142.580002,142.889999,124.221443,124181900,10/12/2012,0,100,0,1
11/1/2012,141.649994,143.009995,141.520004,142.830002,124.169327,100995600,11/1/2012,100,0,0,2
11/2/2012,143.679993,143.720001,141.410004,141.559998,123.065201,137702200,11/2/2012,0,0,100,1
11/6/2012,142.279999,143.520004,142.130005,142.960007,124.282356,107068100,11/6/2012,0,50,50,4
11/20/2012,138.910004,139.419998,138.080002,139.190002,121.004875,119807400,11/20/2012,0,50,50,2
12/3/2012,142.800003,142.919998,141.339996,141.449997,122.969643,124656300,12/3/2012,0,0,100,1
12/6/2012,141.369995,142.039993,141.160004,141.979996,123.430351,103220600,12/6/2012,0,0,100,8
12/11/2012,143.059998,144.110001,142.990005,143.440002,124.699577,152570400,12/11/2012,0,0,100,7
12/17/2012,142.470001,143.850006,142.429993,143.770004,124.986496,143238200,12/17/2012,100,0,0,1
1/10/2013,146.729996,147.089996,145.970001,147.080002,128.770874,130735400,1/10/2013,0,0,100,1
1/15/2013,146.289993,147.210007,146.199997,147.070007,128.762207,93172600,1/15/2013,0,0,100,1
1/22/2013,148.330002,149.130005,147.979996,149.130005,130.56575,111797300,1/22/2013,100,0,0,1
1/23/2013,149.130005,149.5,148.860001,149.369995,130.775864,104596100,1/23/2013,0,0,100,1
1/25/2013,149.880005,150.25,149.369995,150.25,131.546295,147211600,1/25/2013,0,100,0,1
2/15/2013,152.429993,152.589996,151.550003,152.110001,133.174728,215226500,2/15/2013,100,0,0,2
2/20/2013,153.139999,153.190002,151.259995,151.339996,132.500626,160574800,2/20/2013,40,60,0,5
2/25/2013,152.630005,152.860001,149,149,130.451935,245824800,2/25/2013,0,0,100,3
2/27/2013,149.889999,152.330002,149.759995,151.910004,132.999619,150781900,2/27/2013,0,0,100,1
3/1/2013,151.089996,152.339996,150.410004,152.110001,133.174728,170634800,3/1/2013,0,0,100,4
3/8/2013,155.460007,155.649994,154.660004,155.440002,136.090271,123477800,3/8/2013,0,0,100,1
3/11/2013,155.320007,156.039993,155.130005,156.029999,136.606796,83746800,3/11/2013,12.5,0,87.5,8
3/12/2013,155.919998,156.100006,155.210007,155.679993,136.300369,105755800,3/12/2013,25,0,75,4
3/18/2013,154.339996,155.639999,154.199997,154.970001,136.282196,126704300,3/18/2013,0,0,100,5
4/2/2013,156.610001,157.210007,156.369995,156.820007,137.909134,101504300,4/2/2013,50,0,50,2
4/3/2013,156.910004,157.029999,154.820007,155.229996,136.51088,154167400,4/3/2013,100,0,0,1
4/4/2013,155.429993,156.169998,155.089996,155.860001,137.064896,131885000,4/4/2013,0,0,100,1
4/5/2013,153.949997,155.350006,153.770004,155.160004,136.44931,159666000,4/5/2013,100,0,0,1
4/9/2013,156.5,157.320007,155.979996,156.75,137.847565,101922200,4/9/2013,0,0,100,1
4/11/2013,158.699997,159.710007,158.539993,159.190002,139.993286,110142500,4/11/2013,20,0,80,5
4/15/2013,158,158.130005,155.100006,155.119995,136.414093,217259000,4/15/2013,0,100,0,6
4/29/2013,158.669998,159.649994,158.419998,159.300003,140.089996,88572800,4/29/2013,100,0,0,1
5/3/2013,161.139999,161.880005,159.779999,161.369995,141.9104,144202300,5/3/2013,0,0,100,4
5/7/2013,162.130005,162.649994,161.669998,162.600006,142.992096,90359200,5/7/2013,0,0,100,1
5/21/2013,167.080002,167.800003,166.5,167.169998,147.011002,95804200,5/21/2013,0,0,100,1
5/22/2013,167.339996,169.070007,165.169998,165.929993,145.920532,244031800,5/22/2013,100,0,0,1
5/23/2013,164.160004,165.910004,163.940002,165.449997,145.498428,211064400,5/23/2013,0,0,100,2
5/24/2013,164.470001,165.380005,163.979996,165.309998,145.37529,151573900,5/24/2013,0,0,100,1
5/28/2013,167.039993,167.779999,165.809998,166.300003,146.245895,143679800,5/28/2013,25,0,75,4
5/30/2013,165.350006,166.589996,165.220001,165.830002,145.832611,107793800,5/30/2013,0,0,100,1
6/3/2013,163.830002,164.460007,162.660004,164.350006,144.531036,168390700,6/3/2013,100,0,0,1
6/5/2013,163.089996,163.419998,161.130005,161.270004,141.822449,211737800,6/5/2013,33.33333333,33.33333333,33.33333333,3
6/13/2013,161.660004,164.5,161.300003,164.210007,144.407959,163587800,6/13/2013,0,0,100,1
6/14/2013,164.029999,164.669998,162.910004,163.179993,143.502121,141197500,6/14/2013,0,83.33333333,16.66666667,6
6/20/2013,161.860001,163.470001,158.979996,159.399994,140.177994,321255900,6/20/2013,33.33333333,0,66.66666667,3
6/21/2013,159.639999,159.759995,157.470001,159.070007,140.627945,271956800,6/21/2013,0,100,0,1
6/27/2013,161.100006,161.820007,160.949997,161.080002,142.404922,129483700,6/27/2013,0,0,100,1
6/28/2013,160.630005,161.399994,159.860001,160.419998,141.821426,160402900,6/28/2013,0,0,100,1
7/3/2013,160.479996,161.770004,160.220001,161.279999,142.581787,75216400,7/3/2013,0,0,100,1
7/15/2013,167.970001,168.389999,167.679993,168.149994,148.655273,69450600,7/15/2013,100,0,0,1
7/25/2013,168.220001,169.080002,167.940002,168.929993,149.344833,111088600,7/25/2013,100,0,0,1
7/26/2013,168.220001,169.160004,167.520004,169.110001,149.503998,107814600,7/26/2013,100,0,0,1
7/29/2013,168.679993,169.059998,168.110001,168.589996,149.044189,79695000,7/29/2013,20,20,60,5
7/30/2013,169.100006,169.279999,168.190002,168.589996,149.044189,85209600,7/30/2013,0,0,100,8
7/31/2013,168.940002,169.850006,168.490005,168.710007,149.150391,142388700,7/31/2013,0,66.66666667,33.33333333,3
8/1/2013,169.990005,170.809998,169.899994,170.660004,150.874283,110438400,8/1/2013,0,28.57142857,71.42857143,7
8/2/2013,170.279999,170.970001,170.050003,170.949997,151.130646,91116700,8/2/2013,0,100,0,2
8/5/2013,170.570007,170.960007,170.350006,170.699997,150.909637,54072700,8/5/2013,9.090909091,27.27272727,63.63636364,11
8/6/2013,170.369995,170.740005,169.350006,169.729996,150.052094,87495000,8/6/2013,0,40,60,5
8/7/2013,169.190002,169.429993,168.550003,169.179993,149.565857,84854700,8/7/2013,0,50,50,2
8/8/2013,169.979996,170.179993,168.929993,169.800003,150.113968,102181300,8/8/2013,0,0,100,2
8/9/2013,169.580002,170.100006,168.720001,169.309998,149.680801,91757700,8/9/2013,33.33333333,0,66.66666667,3
8/12/2013,168.460007,169.309998,168.380005,169.110001,149.503998,68593300,8/12/2013,100,0,0,1
8/13/2013,169.410004,169.899994,168.410004,169.610001,149.946014,80806000,8/13/2013,16.66666667,0,83.33333333,6
8/14/2013,169.529999,169.800003,168.699997,168.740005,149.176865,79829200,8/14/2013,0,85.71428571,14.28571429,7
8/15/2013,167.410004,167.429993,166.089996,166.380005,147.090485,152931800,8/15/2013,0,0,100,3
8/16/2013,166.059998,166.630005,165.5,165.830002,146.604248,130868200,8/16/2013,53.84615385,0,46.15384615,13
8/19/2013,165.639999,166.210007,164.759995,164.770004,145.66716,96437600,8/19/2013,42.85714286,28.57142857,28.57142857,7
8/20/2013,165.039993,166.199997,164.860001,165.580002,146.38324,89294400,8/20/2013,0,50,50,2
8/21/2013,165.119995,166.029999,164.190002,164.559998,145.481461,159530500,8/21/2013,51.61290323,6.451612903,41.93548387,31
8/22/2013,164.899994,166.300003,164.889999,166.059998,146.807571,101471400,8/22/2013,10,20,70,10
8/23/2013,166.550003,166.830002,165.770004,166.619995,147.302628,90888900,8/23/2013,16.66666667,0,83.33333333,6
8/26/2013,166.789993,167.300003,165.889999,166,146.754532,89702100,8/26/2013,0,16.66666667,83.33333333,6
8/27/2013,164.360001,166,163.210007,163.330002,144.394104,158619400,8/27/2013,33.33333333,0,66.66666667,6
8/28/2013,163.259995,164.490005,163.050003,163.910004,144.90683,108113000,8/28/2013,0,50,50,4
8/29/2013,163.550003,165.039993,163.399994,164.169998,145.136719,119200500,8/29/2013,14.28571429,0,85.71428571,7
8/30/2013,164.509995,164.529999,163.169998,163.649994,144.676941,134928900,8/30/2013,50,0,50,4
9/3/2013,165.229996,165.580002,163.699997,164.389999,145.331223,142375100,9/3/2013,0,50,50,8
9/4/2013,164.429993,166.029999,164.130005,165.75,146.533508,97389400,9/4/2013,25,25,50,4
9/5/2013,165.850006,166.399994,165.729996,165.960007,146.719177,63090500,9/5/2013,0,0,100,1
9/6/2013,166.509995,166.979996,164.479996,166.039993,146.789886,159756500,9/6/2013,0,20,80,5
